 	vengono	vestiti	</S>
è	0.9199989	0.0023475927	0.07765353
r	0.9957361	0.0004421079	0.0038216559
k	0.67787766	0.03861432	0.28350797
u	0.78976053	0.114595145	0.09564436
t	0.7288614	0.08800034	0.18313824
t	0.071282975	0.07124485	0.8574721
e	0.09057748	0.6534042	0.25601834
n	0.0062868283	0.39429244	0.5994207
d	0.036199756	0.081992775	0.88180745
i	0.0019986252	0.90128547	0.09671594
m	0.0021446054	0.6349985	0.3628569
è	0.0007899959	0.7649396	0.23427038
n	0.0005731962	0.4554011	0.54402566
a	0.00059751153	0.7259465	0.273456
</S>	0.0007376319	0.13168548	0.8675769
