 	deve	che	entra	da	qui	</S>
è	0.9982101	6.401021e-05	0.0006279684	3.9408176e-05	0.00028304374	0.0007755421
n	0.96222794	0.002796368	0.0054604015	0.0017928476	0.0063633537	0.021359123
g	0.17886998	0.16148098	0.11656809	0.012589912	0.039887447	0.49060366
h	0.025711345	0.0056801443	0.96551317	0.0015269303	0.0003457899	0.0012227428
i	0.01871815	0.011346169	0.9670072	0.0016000853	0.00034967944	0.0009788288
s	0.031246455	0.407911	0.4965833	0.033255003	0.013977739	0.017026475
e	0.003182216	0.21052657	0.36738545	0.18011208	0.04194029	0.19685332
n	0.04426156	0.17186368	0.39811936	0.33133167	0.013989558	0.040434197
a	0.0033455652	0.003498817	0.06537923	0.09180108	0.117623545	0.7183518
m	0.0422328	0.030164221	0.4742945	0.3358537	0.06968622	0.04776853
b	0.0030449152	0.005902013	0.18362638	0.05342966	0.04528047	0.7087166
i	0.008068619	0.005515165	0.9348059	0.048164092	0.0017055621	0.0017406947
a	0.024081536	0.020848526	0.093313366	0.7865372	0.052132223	0.02308712
p	0.0023754868	0.004185981	0.010266092	0.087301485	0.73583364	0.16003731
ò	0.0029616277	0.008637107	0.053086508	0.06712824	0.2744366	0.59374994
t	0.00020662739	7.381472e-05	0.009957327	0.0080987625	0.90464544	0.07701808
t	0.0012751429	0.0039275256	0.04517553	0.021283254	0.44794422	0.48039436
ù	0.004870142	0.0013866632	0.0825793	0.017148327	0.8240013	0.07001419
</S>	4.498789e-05	2.8881846e-05	0.0053667976	0.0014416631	0.87591153	0.11720616
