 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.8164181	0.14590509	0.0027391892	0.0037280978	0.0021398019	0.0009631038	0.0022263122	0.0010488465	0.004014605	0.00050446595	0.001224637	0.019087814
j	0.11774903	0.8783365	0.002017941	2.3716313e-05	3.4342753e-05	0.00013680583	5.422315e-06	3.43869e-05	5.118307e-06	5.983744e-07	9.366432e-07	0.0016550942
i	0.01438236	0.022106668	0.39243504	0.017843038	0.016406767	0.011492185	0.005556044	0.0067845164	0.014933497	0.0006517314	0.0013493748	0.49605873
n	0.013673836	0.9430099	0.035185385	0.0026652825	0.0004900944	0.00033118058	0.00013549847	8.896288e-05	2.5640082e-05	8.833091e-06	1.2740288e-05	0.004372653
è	0.016390705	0.49619493	0.38595235	0.0040552644	0.008785921	0.010150904	0.0020803118	0.004822619	0.0048600077	0.00019169072	6.1466315e-05	0.06645375
k	0.017028013	0.9230109	0.051930763	0.005780275	0.00063324	0.00038279447	0.00015739216	0.00011457197	7.557673e-05	4.9939168e-05	7.140437e-05	0.0007652309
a	0.18128546	0.5505698	0.07173035	0.06790636	0.022436012	0.0097203385	0.017215546	0.007662175	0.0074362718	0.0023128467	0.00058184756	0.061143067
è	0.0024088288	0.12293476	0.7281224	0.124256894	0.011137266	0.009231044	0.00077170593	0.00054013793	0.000115837785	5.64566e-05	2.4660558e-05	0.00039994402
n	0.0013562368	0.017423414	0.509152	0.35137823	0.02582981	0.03768629	0.0069760475	0.007820742	0.004442894	0.003585548	0.0026590368	0.03168967
e	0.0016383039	0.009793496	0.48393062	0.223487	0.037434872	0.08210762	0.006586221	0.016410453	0.004848956	0.0003318622	0.0014402987	0.13199033
k	0.004428662	0.017940158	0.5350981	0.24928343	0.090247475	0.0956888	0.0031274173	0.0018404541	0.00029099878	0.0001478001	5.9873008e-05	0.0018468207
a	0.014179011	0.045714434	0.5966806	0.07110374	0.017353809	0.052552253	0.005842565	0.018079953	0.0075986315	0.0013004636	0.0012586676	0.16833591
p	0.0051389015	0.0069874357	0.2221163	0.47917193	0.16738564	0.10461817	0.0063796765	0.003485862	0.0007034664	0.0003118263	0.00012934778	0.0035714684
à	0.014596724	0.02660228	0.2920623	0.22139758	0.041246798	0.101353526	0.012508994	0.025923068	0.013307666	0.0037139188	0.00596825	0.24131879
c	0.0002320703	0.0003830545	0.039807394	0.41596574	0.33618206	0.16507937	0.017969517	0.0067863073	0.0044664796	0.002027984	0.0026359044	0.008464103
e	0.011238392	0.0058764876	0.10069501	0.15203376	0.041541565	0.022948653	0.02429401	0.01889194	0.037436552	0.028441172	0.0838813	0.47272122
n	0.0021643026	0.0013165098	0.0072420402	0.10677532	0.5232341	0.31364408	0.030651221	0.01113134	0.0015716443	0.0010998371	9.1241716e-05	0.0010782712
a	0.0024995946	0.0033990399	0.020458778	0.042694684	0.24446368	0.33443028	0.032708157	0.06263014	0.05840031	0.0026053938	0.0024814343	0.1932286
p	0.0021789982	0.0009105402	0.0023401976	0.020188984	0.4787202	0.4394472	0.03233614	0.015080441	0.0032023336	0.0012684253	0.00042806065	0.0038984905
u	0.013153624	0.017552461	0.026150797	0.14232248	0.10811299	0.29297072	0.020529168	0.034378245	0.022012003	0.010375655	0.018323632	0.29411823
l	0.002339125	0.0010459125	0.0018088456	0.009258344	0.45921072	0.43301398	0.059190787	0.023453673	0.004435909	0.0024542206	0.0003911649	0.0033972375
i	0.0006483264	0.0018337399	0.002243604	0.0071250955	0.17281632	0.3695517	0.04290013	0.055061072	0.084664546	0.0185374	0.036027547	0.20859051
z	0.0016196043	0.0005212204	0.00091545965	0.0093658045	0.6142781	0.20771843	0.10877638	0.03559316	0.009971212	0.0026510227	0.0017272823	0.006862361
z	0.00032893772	0.0017213488	0.002015449	0.008759105	0.091788284	0.3172595	0.0359848	0.06374904	0.072624914	0.017241098	0.042676114	0.34585148
è	0.0077468012	0.0013091167	0.0012502453	0.090832286	0.59073097	0.04264786	0.08370408	0.010419124	0.0116918	0.031689692	0.090654194	0.037323844
s	0.0006526842	0.00013569399	0.0002958427	0.010936811	0.55631644	0.064173	0.24865352	0.03519396	0.027433379	0.011801448	0.021174606	0.023232613
s	0.019644592	0.0030514344	0.0027097294	0.10472575	0.17736183	0.02739367	0.07398888	0.031891976	0.05034908	0.07292464	0.20028159	0.23567677
i	0.00047301524	8.7362496e-05	0.000106973246	0.010120275	0.43630022	0.043753605	0.3854495	0.057382744	0.025862826	0.0255881	0.008490513	0.006384927
è	0.0034003803	0.0010517273	0.0015807807	0.0042530703	0.16524233	0.12284546	0.42574897	0.19919688	0.049811117	0.015502168	0.0031049163	0.008262203
n	4.9272887e-05	0.00025946484	0.00050788786	0.0035090747	0.06820302	0.10102339	0.30230477	0.06523804	0.13334884	0.12436771	0.106765784	0.09442278
a	0.0010287882	0.00030002723	0.0004677012	0.012756594	0.055536658	0.038863864	0.039277267	0.011209168	0.021687243	0.09235411	0.2973152	0.42920336
p	0.0017988984	0.0005905236	0.0010561531	0.00108535	0.032831844	0.048169836	0.37765732	0.3465008	0.150509	0.023357933	0.009452838	0.0069894227
u	0.028911231	0.028144227	0.012631033	0.013610113	0.07571699	0.33206832	0.037772067	0.063935824	0.041412678	0.028608106	0.05347028	0.28371906
l	0.0036659841	0.0013055085	0.0022620177	0.0024089115	0.031903457	0.036158472	0.34028667	0.33724126	0.17375742	0.040115032	0.015421435	0.015473868
i	0.00055705063	0.0020995503	0.0012168218	0.0004823134	0.0110630775	0.09756463	0.06678669	0.12145066	0.13436584	0.09685976	0.10941141	0.35814217
z	0.0024021184	0.00089537376	0.0017180956	0.0051882244	0.06049258	0.01618846	0.40905783	0.24335071	0.15516877	0.03976389	0.037249204	0.028524734
z	0.000365757	0.002277458	0.0014497736	0.0009961763	0.009637154	0.10016855	0.05857118	0.12048437	0.117326215	0.07396715	0.08338389	0.43137234
è	0.011587875	0.0030378564	0.0022690261	0.020193718	0.04345157	0.009304905	0.20872113	0.048372272	0.047600534	0.19022264	0.3111262	0.1041123
s	0.0013188648	0.0003008718	0.0005421051	0.007276538	0.038085848	0.003795772	0.34347227	0.08407836	0.12959571	0.09046885	0.21498065	0.086084194
s	0.038927127	0.0060869213	0.002848435	0.013783863	0.020788789	0.007610705	0.07916648	0.0500375	0.082680464	0.10233948	0.29741403	0.2983162
i	0.0056903553	0.00060717436	0.0004759544	0.0080671115	0.029483235	0.004606002	0.44364214	0.12553717	0.10060554	0.10497649	0.10058578	0.075723074
o	0.005399463	0.0022527745	0.0035659322	0.007653822	0.052743375	0.008617718	0.2208367	0.2380957	0.2868402	0.044094972	0.08932839	0.04057097
s	0.00015219225	0.00074134785	0.0025813275	0.0034150688	0.015207707	0.028364224	0.09360235	0.19701914	0.35607988	0.07373641	0.12642181	0.10267861
p	0.00041490732	0.0010474691	0.0009984302	0.00053933123	0.020881303	0.103732824	0.056126043	0.07751342	0.110305876	0.03842539	0.05091795	0.5390971
ì	0.002294221	0.00030175532	0.00016185477	0.0019421693	0.0025419788	0.0005901416	0.024356997	0.008840527	0.021667507	0.4949793	0.3899153	0.0524083
t	0.0003294256	9.1752176e-05	0.00016988648	0.0026380287	0.006856171	0.00051584496	0.057915106	0.026119899	0.15393372	0.097872265	0.5875142	0.06604368
i	0.06445201	0.010184027	0.005423551	0.019243717	0.0105145	0.0024161057	0.016804848	0.018718792	0.03747468	0.0772429	0.412309	0.3252159
k	0.006425821	0.002726789	0.004533517	0.010696336	0.05362739	0.0067139585	0.081646554	0.10594888	0.31601351	0.017877238	0.30241972	0.09137023
a	0.04806406	0.017477581	0.00864591	0.02368802	0.008246508	0.0036904097	0.008271161	0.015909756	0.04016933	0.09192975	0.39564613	0.33826146
m	0.0074130013	0.002852858	0.005358166	0.007739814	0.035350006	0.008065329	0.04066379	0.050171625	0.22637157	0.012167766	0.4515875	0.15225853
è	0.010414873	0.0055068126	0.0029984997	0.0050829346	0.0040565287	0.0079924455	0.004799565	0.011899809	0.02765588	0.07942665	0.42246002	0.4177059
r	8.225873e-06	9.163279e-06	4.4064393e-05	0.000530107	0.0010002389	0.00018836297	0.0038189876	0.002321054	0.04940104	0.015356828	0.85181737	0.07550452
i	0.03569813	0.006091084	0.004097175	0.016668277	0.010707366	0.0022243941	0.0032749558	0.00272421	0.007199494	0.031517856	0.5319075	0.34788957
</S>	0.005788564	0.003243265	0.007627887	0.012654339	0.053590048	0.011241615	0.035820723	0.029192058	0.06899162	0.004011331	0.38078433	0.38705423
