 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.9459756	0.040901314	0.00016443318	0.0001426484	0.00020907457	7.4758136e-05	0.00012968617	0.0003122906	0.00042598564	0.0010740986	0.010590135
a	0.91428393	0.036844183	0.0020202121	0.00089453696	0.0005959077	0.0028683718	0.00046760886	0.00048307853	0.00028762838	0.00032794732	0.040926564
p	0.02010646	0.94829124	0.009616587	0.005007085	0.0017089348	0.0020705918	0.00047375637	0.00024146764	0.00020107494	0.00014857178	0.012134116
e	0.30552134	0.04004907	0.02406144	0.08791243	0.13307439	0.18439385	0.05567946	0.018057263	0.0027443974	0.0075284927	0.14097783
d	0.0001523423	0.9823314	0.007458508	0.008862567	0.00018465918	0.00037126537	0.00012844558	1.6381793e-05	7.0233073e-06	1.7688819e-05	0.0004697497
ì	0.55826694	0.07251375	0.018016411	0.018188374	0.04224445	0.140251	0.015883937	0.0068203215	0.0021769723	0.002604451	0.12303343
a	5.8414458e-05	0.9705537	0.013733921	0.014065759	0.0006060508	0.00023141691	0.00013983103	6.0613078e-05	3.08168e-05	8.996833e-05	0.00042957076
m	0.005415633	0.4672543	0.38409513	0.047214102	0.012468357	0.02256419	0.0024191362	0.0014759874	0.0025534183	0.0025337746	0.052006017
i	0.062406145	0.0058076605	0.02392645	0.048909117	0.08574698	0.5472149	0.046993244	0.011576831	0.0040562456	0.008028418	0.15533401
n	0.000112564114	0.0784	0.11051233	0.7639596	0.014747735	0.012811191	0.009730517	0.0011224349	0.00042792087	0.0007715257	0.007404091
c	0.0011701767	0.04568811	0.11456704	0.36610597	0.03411749	0.043753717	0.022026405	0.018126931	0.017510008	0.009005716	0.3279285
i	0.12539245	0.04884408	0.021969128	0.32109088	0.20166986	0.05116566	0.09945328	0.057314403	0.002569268	0.021153754	0.0493773
à	0.0031577474	0.014848563	0.15008543	0.6436481	0.08764994	0.06027647	0.022888875	0.0046127816	0.0018900781	0.0012629658	0.009679096
è	0.00087789504	0.0075414763	0.03943801	0.6700221	0.06776986	0.018587563	0.03221063	0.023571668	0.025576506	0.029578466	0.08482576
