 	se	avevi	visto	tempo	il	tempo	non	fossi	venuto	che	ti	bagna	tutto	</S>
a	0.94729567	0.0044148574	0.0011754516	0.00048260472	0.00013419175	0.0004152769	0.0004087905	0.0002759927	0.0019375733	7.4094714e-05	0.00010450784	0.00031624525	0.0008740926	0.04209072
n	0.0133949965	0.023110718	0.08445249	0.014564185	0.027332315	0.0030620587	0.0024552038	0.0049482766	0.014599145	0.011492751	0.0029330961	0.007952903	0.028125433	0.7615764
ì	0.00020339566	0.41857946	0.30210027	0.05090991	0.01784898	0.017620346	0.011469719	0.014709977	0.014965113	0.0020799628	0.0036837554	0.0016305712	0.007907569	0.13629098
c	7.399854e-05	0.96780324	0.029802863	0.00087955926	0.000606187	0.00014116924	0.00015771728	4.1763862e-05	7.934419e-05	4.3852386e-05	1.3721917e-05	4.42579e-05	0.000117678734	0.00019463061
h	0.008061979	0.14875762	0.49585307	0.011190483	0.03462175	0.002338144	0.001552471	0.008417458	0.018029489	0.0027020655	0.0018242197	0.0025579252	0.0144441	0.24964918
e	0.00038824714	0.94620734	0.04844339	0.0028096288	0.0003987277	0.00043799667	0.00035501557	0.0002974843	0.0002701392	5.0910817e-06	6.43188e-05	4.5791694e-05	5.9630238e-05	0.00021709068
t	1.2188574e-05	0.06019269	0.8004544	0.048323918	0.08671753	0.001909437	0.0010888404	0.00016642649	0.000457077	0.00035846376	2.6773556e-05	0.000120621786	6.1384517e-06	0.0001655124
o	0.00018851826	0.053448644	0.5716231	0.0852368	0.063462876	0.022680994	0.011691945	0.03333798	0.02711465	0.0046856506	0.0064177252	0.0031587055	0.011884461	0.105067864
r	0.00015010337	0.047087215	0.7254982	0.14307791	0.061384924	0.0083383415	0.005464247	0.0012140397	0.00321631	0.0004610852	0.0003318848	0.00062897865	0.00027914433	0.0028676009
ì	0.0001838747	0.026010321	0.3406869	0.15314868	0.08140735	0.052958027	0.030089572	0.05921342	0.043903116	0.0064005214	0.01144304	0.0049902094	0.023605146	0.16595984
s	0.00025953667	0.12434166	0.37456194	0.24696535	0.051339045	0.04422816	0.053900022	0.013421971	0.0084853545	0.0017294091	0.003939897	0.0029620144	0.047696404	0.026169267
o	0.000408641	0.30535683	0.2703087	0.10089435	0.018782819	0.056837406	0.055473667	0.06882871	0.04369215	0.0009793901	0.0056973863	0.0050584036	0.008266368	0.0594152
n	0.00012163045	0.0025044132	0.11903671	0.44372886	0.27182737	0.08421076	0.061561275	0.0102601275	0.003366163	0.00090592314	0.00081031973	0.0011718966	7.656636e-05	0.00041804713
t	6.145119e-05	0.0040000803	0.06018922	0.3302831	0.18618733	0.0829677	0.037656866	0.09262709	0.05802719	0.007992721	0.0131288795	0.0065758997	0.013633263	0.10666916
a	7.434335e-06	0.002213906	0.05877221	0.36782512	0.35613483	0.061621863	0.039765045	0.04471467	0.031273704	0.00835315	0.005620534	0.017730802	0.00057723373	0.005389492
c	0.0002375592	0.002180204	0.0137964785	0.37487182	0.33347073	0.12589158	0.10459889	0.018108265	0.010663823	0.0022293585	0.0021377923	0.0049433503	0.0015640161	0.005306165
e	0.00092297205	0.0047502485	0.13412385	0.1578046	0.47393098	0.021289097	0.021831814	0.03987532	0.0639809	0.012057006	0.009013056	0.014418462	0.005572496	0.040429246
r	0.00041642564	0.0028000493	0.006606485	0.40326557	0.20948198	0.18423901	0.14481713	0.02251589	0.013236169	0.0011357268	0.0020434943	0.001812749	0.0014283254	0.0062008994
ò	4.2308835e-05	0.0017913441	0.0056970837	0.15973853	0.283871	0.14112075	0.059189502	0.1451323	0.051701903	0.005556424	0.013515427	0.0065771504	0.04078613	0.08528012
o	2.1101108e-05	0.001866794	0.0007399304	0.096284166	0.07523696	0.2997101	0.33124793	0.0985133	0.01477348	0.0016189857	0.008992131	0.005469191	0.047094572	0.018431379
c	7.412589e-05	0.0039827847	0.0028842683	0.1387373	0.096262604	0.20934168	0.23871051	0.08702239	0.04745417	0.007765024	0.02269817	0.04208812	0.060240917	0.042737868
e	0.0058249766	0.008771069	0.053066947	0.046036072	0.31829783	0.03293701	0.04564494	0.10146242	0.17350088	0.018564705	0.02262275	0.044618033	0.026038302	0.10261408
r	7.8532874e-05	0.004175829	0.0014426296	0.024494072	0.023728248	0.34165612	0.35817122	0.16691086	0.045844693	0.0034125997	0.009294907	0.0055654915	0.0052347416	0.009990075
ò	0.0001200712	0.0015614671	0.006897201	0.018280393	0.1636409	0.074483804	0.035011046	0.27816844	0.090694554	0.007788038	0.018586816	0.01201208	0.16001207	0.13274312
e	1.1706123e-05	0.0014981286	0.00025663956	0.0056207557	0.010823539	0.22812602	0.29482058	0.29013413	0.027974226	0.0020182722	0.018704146	0.00966085	0.08577608	0.024574907
n	3.958514e-05	0.0028663639	0.0013778746	0.020756189	0.022591973	0.22392198	0.331433	0.18731967	0.053433318	0.008428416	0.028886233	0.044162963	0.04695061	0.027831858
ì	0.00014594603	0.0015069415	0.004519512	0.007542897	0.0406542	0.05336438	0.031311434	0.35810056	0.10266486	0.0064014085	0.018448306	0.010510545	0.19205701	0.17277204
c	9.5474825e-06	0.0016290392	0.0003988559	0.0013317011	0.0038117452	0.06085261	0.107410885	0.36556968	0.05738603	0.01583584	0.063628465	0.037779022	0.25640145	0.027955132
h	0.002358479	0.0026294931	0.0030648683	0.008690392	0.044222515	0.04266772	0.04591105	0.11598632	0.050658252	0.0057812696	0.010863663	0.03183558	0.3848406	0.25048983
e	0.00046613486	0.0006755633	9.486131e-05	0.0006306895	0.002109989	0.04493431	0.044493455	0.85219204	0.018396923	0.0019443617	0.0047141076	0.0011007311	0.011703993	0.016542876
è	0.00029101406	0.0035476782	0.0037461089	0.022168519	0.0066810916	0.079302035	0.10754186	0.2723514	0.2260899	0.036201853	0.08926564	0.07103258	0.0449038	0.036876563
r	1.2461112e-05	0.0025091635	0.0012137768	0.0014485103	0.0035430663	0.01952973	0.03177452	0.13944742	0.03510082	0.022255464	0.048879143	0.09201859	0.5390653	0.06320202
t	0.0105009535	0.0033374934	0.003209538	0.005146461	0.009751804	0.018449055	0.036941152	0.065036304	0.039349765	0.004705256	0.010710068	0.02962259	0.44639865	0.31684092
o	0.0001637824	0.0006336906	4.499719e-05	0.00038649794	0.00015059707	0.01833607	0.01920435	0.65127647	0.12427293	0.0042678183	0.022755846	0.008490808	0.08420013	0.06581597
n	0.00033182083	0.0035327892	0.004966159	0.017702363	0.005298461	0.025310315	0.02886244	0.07731126	0.25272352	0.032253698	0.15550849	0.17899029	0.17256926	0.04463918
t	0.0002647322	0.00092729705	0.0054784226	0.002857949	0.010173945	0.0045674774	0.0029009513	0.11459626	0.06490243	0.011653089	0.021453535	0.018717352	0.5465612	0.1949454
a	0.00022636799	0.0025138499	0.00080900686	0.0027759916	0.0009498056	0.009796964	0.014628678	0.09688262	0.098354444	0.016170958	0.039517213	0.1206514	0.34597564	0.25074714
n	0.0001168068	0.0029276318	0.0054481975	0.009203838	0.004702376	0.00802731	0.008475174	0.01776421	0.07971722	0.012711051	0.0752729	0.35170087	0.3807458	0.04318663
a	0.00015989484	0.00082767016	0.004951946	0.0018805007	0.0072611477	0.0025851685	0.0014095707	0.070533246	0.050633464	0.011549748	0.019033091	0.020184498	0.61961704	0.18937305
s	0.00032925908	0.004130931	0.001236353	0.0067041274	0.0009872974	0.01370887	0.0111711435	0.04190723	0.064297445	0.0030854708	0.048199613	0.075905904	0.63252544	0.09581096
e	8.747655e-05	0.00070967694	0.0050718253	0.0012001278	0.004919008	0.0010220654	0.0006560935	0.028286535	0.032172587	0.012713557	0.014620912	0.03501713	0.68012303	0.1834
g	0.00015355187	0.0023357684	0.00090862706	0.005499685	0.0007924794	0.0079349615	0.005816447	0.02029772	0.029620275	0.0014174355	0.025309388	0.066673726	0.7635284	0.06971152
r	0.011065867	0.0044665816	0.01063216	0.003990469	0.0063031446	0.0028014297	0.0038164498	0.02553889	0.051276155	0.013265913	0.021049371	0.13936335	0.4087458	0.2976844
à	0.00038564648	0.000862118	0.00026702633	0.0012452347	0.00029789621	0.0035050795	0.0021724922	0.029784398	0.015450719	0.0007996018	0.005796142	0.008643856	0.80574524	0.1250446
n	4.627555e-06	0.00012750972	2.3621324e-05	7.2812945e-05	2.1582333e-05	0.00022200267	0.00014424403	0.0015118866	0.0010199446	3.4240904e-05	0.001780524	0.008150305	0.95838326	0.028503384
i	0.0037553813	0.0008049009	0.0008316654	0.0021536734	0.0006906897	0.0015331544	0.00090030185	0.005892244	0.0029504902	0.0002986806	0.0018059392	0.0037231375	0.69919306	0.27546665
ò	0.00030338243	0.0023242855	0.003165783	0.012174345	0.00321236	0.012999876	0.006622271	0.03467758	0.032474086	0.00094799744	0.0055032815	0.014234961	0.73302984	0.13832998
l	1.0799665e-05	0.0012613656	0.0014984773	0.0008025454	0.0013302184	0.0013129592	0.0008206719	0.0046286564	0.0024875843	0.001027043	0.0057326104	0.055210926	0.882181	0.041695148
o	6.583267e-05	0.000908149	0.0013209812	0.0007468378	0.0010116537	0.0007784645	0.00079351256	0.0020042495	0.0029074075	0.008839487	0.01482295	0.15717769	0.61242074	0.19620211
</S>	0.00013256443	0.0011818894	0.0014147685	0.005309971	0.001352319	0.004294703	0.0030579204	0.008200615	0.01771625	0.00029862448	0.0040202164	0.011993017	0.56628674	0.3747404
