 	non	aveva	da	stare	</S>
e	0.92473036	0.04062803	0.00015649392	0.00017407484	0.034311008
n	0.044551786	0.048355892	0.0019609754	0.13358432	0.771547
ì	0.002513089	0.8062307	0.047646474	0.058865063	0.084744714
c	0.0039752736	0.99229604	0.003098569	0.00017141625	0.00045873979
h	0.0033931711	0.5678846	0.024597004	0.30026874	0.10385649
e	0.00052555633	0.96010286	0.03847404	0.00046522653	0.00043231683
n	0.017227335	0.092011936	0.3251542	0.061497584	0.50410897
a	0.00032449025	0.021710394	0.21466202	0.44655153	0.31675154
s	0.047402743	0.013000956	0.1052598	0.25783035	0.57650614
t	0.00056190265	0.011111566	0.15943861	0.4376113	0.39127654
a	0.0011576508	0.0036255147	0.037463684	0.90969455	0.04805865
s	0.0011323985	0.0013956635	0.0023471182	0.8329713	0.16215357
ì	0.00037189832	0.01801818	0.073783495	0.47242135	0.43540508
</S>	0.00059351424	0.092227444	0.040912177	0.46954492	0.39672187
