 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.9077254	0.00532039	0.0095190685	0.00021941608	0.0008948057	0.00076278835	0.0006871918	0.0020547956	0.07281609
n	0.03617501	0.057102665	0.023485478	0.013136671	0.00091093517	0.0013787781	0.00808183	0.030149624	0.829579
e	0.0013902609	0.4113727	0.17636958	0.008127322	0.030525057	0.006099311	0.0019332294	0.007893797	0.35628876
s	0.007524641	0.90357035	0.052399024	0.01926687	0.0003474395	0.0002977004	0.00019780787	0.0004820602	0.015914088
p	0.00082343107	0.29006824	0.0793398	0.006777802	0.027005993	0.0055876276	0.0036181351	0.010925882	0.5758531
ì	0.0070223603	0.47709897	0.4158594	0.013513994	0.043697424	0.024176331	0.0005640212	0.0023121284	0.015755381
c	0.00038027327	0.3635183	0.6098745	0.004692724	0.011679145	0.0022242775	0.0004379837	0.000770504	0.0064223153
c	0.015228804	0.59295005	0.17470396	0.038143516	0.031103399	0.0097484235	0.001176145	0.0033185154	0.13362724
e	0.0006551638	0.0969074	0.75169367	0.008588934	0.13749719	0.0042652125	0.00013395978	5.007273e-05	0.00020844206
t	0.0033299215	0.013570485	0.36630717	0.53643644	0.058484837	0.00985764	0.0033004934	0.00085657975	0.007856393
s	0.00072837033	0.021957941	0.02180991	0.06571567	0.24964596	0.03497607	0.017189927	0.030983208	0.55699295
a	0.0029426487	0.0105621675	0.025749486	0.513119	0.3380307	0.03343643	0.019974204	0.014844871	0.04134053
o	0.004742834	0.0037172826	0.018453538	0.78864074	0.12111242	0.026649712	0.0113521265	0.005158672	0.02017274
s	0.0019218699	0.009316268	0.013294034	0.3248091	0.2735394	0.04106855	0.1360265	0.057607457	0.14241675
ò	0.0001098287	0.0014153396	0.0012762225	0.010380292	0.6064734	0.013956386	0.010033826	0.026423084	0.32993156
z	0.0002356459	0.0018968505	0.010895871	0.004246105	0.86913294	0.054957926	0.02377536	0.012884383	0.021974986
o	0.0020094793	0.002448933	0.0035762324	0.072965465	0.73627114	0.011922992	0.005113208	0.028876804	0.13681574
s	0.0033091577	0.0030593763	0.014596404	0.05145655	0.079772554	0.627374	0.20760448	0.0059549445	0.0068724654
p	0.00067896856	0.0054109	0.004509905	0.011134118	0.43928954	0.030231025	0.03325549	0.064706564	0.4107835
i	0.0046501597	0.004638604	0.012205486	0.009579776	0.6698284	0.14586902	0.00462428	0.035343014	0.113261275
c	0.021813484	0.005165731	0.048027113	0.011676222	0.052522615	0.6134311	0.18504865	0.018939134	0.043375913
c	0.02409735	0.024316268	0.025337419	0.07915494	0.29905543	0.069285534	0.03078285	0.16249007	0.28548017
è	0.075379126	0.006342539	0.039180238	0.0025920854	0.3102554	0.37067395	0.020830346	0.039442968	0.1353033
t	0.07636323	0.010290696	0.021176808	0.0034063386	0.07188386	0.5683789	0.03738508	0.03387984	0.17723517
s	0.13802269	0.019270724	0.007131236	0.0031267346	0.052488472	0.13021882	0.015004134	0.19569387	0.43904325
i	0.018326696	0.0032060582	0.009002715	0.00046672142	0.032274235	0.7859089	0.078561544	0.020866008	0.051387124
t	0.013736929	0.0090417685	0.073784836	0.004067442	0.020435235	0.30116028	0.30648103	0.096206315	0.17508622
s	0.00055396854	0.0019073542	0.0030256058	0.0011910084	0.028613219	0.007380065	0.100076176	0.40185305	0.45539954
e	0.004184402	0.0042308285	0.037731193	0.0011304368	0.007954258	0.0506045	0.16914721	0.36536774	0.3596494
g	0.0024438982	0.0041329907	0.042025164	0.005750168	0.006159554	0.01735111	0.115095094	0.6477333	0.15930879
r	0.0043306127	0.006209946	0.007020428	0.006062819	0.026515776	0.00866256	0.10143348	0.4181273	0.4216371
à	0.007156123	0.003086596	0.0367503	0.00043789935	0.0071205944	0.057875477	0.09047167	0.5673363	0.22976498
t	1.6371383e-05	0.0005450078	0.009818606	2.7080287e-05	0.018645134	0.013697961	0.11268565	0.6305285	0.21403566
s	0.0070622764	0.0017980359	0.010301258	0.0004172129	0.010229832	0.0025125	0.014740794	0.34019712	0.61274093
i	0.06877958	0.007680681	0.023115875	0.0011779424	0.0062539973	0.06340951	0.031809103	0.32521522	0.47255808
</S>	0.0026153596	0.0051648836	0.060370512	0.0006824968	0.01825186	0.02824769	0.019741535	0.5340409	0.3308847
