 	Valeria	legge	il	giornale	</S>
e	0.97385186	0.014296385	0.00097175135	0.005988023	0.004891889
V	0.9981667	0.0015480503	9.157626e-06	9.378279e-06	0.00026664676
a	0.18545678	0.200307	0.01051065	0.02032714	0.58339846
l	0.4846822	0.44128802	0.0055981823	0.0038187646	0.06461283
è	0.36819032	0.28803438	0.035179853	0.008093943	0.30050144
r	0.9282699	0.07078289	0.0003821248	2.1035803e-05	0.0005440778
i	0.3528518	0.5105963	0.05876078	0.0023358727	0.07545531
a	0.01396093	0.9800443	0.005594913	8.4206855e-05	0.00031563677
m	0.018728234	0.8687528	0.070887305	0.005719451	0.035912234
e	0.05527391	0.602936	0.063989535	0.0050652702	0.2727352
l	0.12822857	0.8142785	0.040962085	0.0007458434	0.015784921
e	0.014502062	0.170134	0.37759542	0.05772426	0.38004428
t	0.05454462	0.8734196	0.06626637	0.0008992668	0.0048702443
à	0.01988265	0.03922806	0.3697922	0.03327504	0.53782207
o	0.03494334	0.2020421	0.6038099	0.09348548	0.065719135
g	0.01059284	0.12670633	0.65302527	0.13798268	0.071692824
i	0.059482403	0.10103756	0.10445541	0.022617316	0.7124073
o	0.25395238	0.45578945	0.111166626	0.049500067	0.12959151
r	0.018823214	0.122605704	0.2117018	0.47494105	0.17192827
n	0.0046644234	0.0017240683	0.021783367	0.05436551	0.91746265
à	0.039532207	0.0578315	0.053303603	0.52083457	0.32849813
l	0.00344613	0.004498319	0.015585535	0.73795927	0.23851077
e	0.0056260442	0.008287806	0.007766866	0.13356873	0.8447506
</S>	0.035278913	0.1822265	0.0030930205	0.003917917	0.7754836
