 	sto	e	cucino	</S>
e	0.96482784	0.015428392	0.0022846132	0.017459115
s	0.856006	0.030954845	0.013263347	0.09977589
t	0.011648114	0.04315339	0.03573832	0.9094602
è	0.8065962	0.18975003	0.0023244296	0.0013293418
c	0.20291358	0.7702295	0.013643766	0.013213126
e	0.059575364	0.25105116	0.15617917	0.5331943
m	0.122081645	0.73326164	0.06861555	0.07604112
a	0.00066311617	0.0031036611	0.77126193	0.2249713
r	0.5035901	0.15244873	0.08190929	0.26205185
è	0.025621032	0.031433184	0.18784107	0.7551047
o	0.010449739	0.03324488	0.70162725	0.25467807
</S>	0.0047212536	0.007995404	0.8179376	0.16934562
