 	vuole	pianto	</S>
e	0.8002714	0.13744745	0.0622812
t	0.9658436	0.0035614958	0.030594809
è	0.21450533	0.49071103	0.29478365
l	0.8421501	0.15207222	0.005777708
i	0.69134504	0.051812965	0.25684196
k	0.31563723	0.5941662	0.0901966
l	0.0033466017	0.11426238	0.882391
a	0.013542139	0.9719105	0.014547339
m	0.0027864634	0.8033235	0.19389008
m	0.0018230656	0.16213089	0.8360461
è	0.030778702	0.8325977	0.1366237
n	0.07338059	0.56657827	0.36004117
o	0.029313097	0.60000336	0.37068358
</S>	0.008375941	0.2904916	0.7011324
