 	viene	fabbricato	</S>
è	0.97159797	0.0003914946	0.028010467
r	0.98719066	0.0038210514	0.008988382
k	0.46836048	0.25249672	0.2791429
e	0.83117074	0.0894021	0.07942711
t	0.63124603	0.11418479	0.25456923
e	0.14661562	0.25480294	0.59858143
f	0.116435535	0.5982843	0.28528017
a	0.21740453	0.44239888	0.3401966
b	0.014807513	0.7928123	0.19238015
b	0.003697137	0.6270486	0.36925426
r	0.09879674	0.15727429	0.7439289
i	0.07951922	0.17375205	0.7467287
k	0.005652818	0.6487964	0.34555084
à	0.0012281096	0.7961138	0.20265801
t	0.0034228652	0.39803407	0.59854305
o	0.0031921333	0.591124	0.4056839
</S>	0.005138603	0.040976312	0.95388514
