 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.9333929	0.0032148997	0.0025221321	0.0018212986	0.0013912288	0.0082383845	0.049419254
m	0.9545464	0.037807535	0.00095622503	0.0005335351	0.0001499458	0.0001184427	0.0058878683
à	0.007466022	0.04114433	0.31120935	0.06211687	0.009970654	0.017712476	0.55038035
k	0.46759275	0.3604275	0.16040654	0.0013367065	0.00028073884	0.0004632546	0.009492665
i	0.3929594	0.2445575	0.025897833	0.008333586	0.0013632567	0.0028416938	0.3240467
n	0.03217366	0.45350388	0.49618065	0.015423223	0.0016454547	3.1021773e-05	0.0010422261
a	0.019445518	0.331279	0.3900294	0.08638893	0.023100682	0.0034770945	0.14627936
t	0.0142621575	0.20829707	0.7268051	0.037765756	0.0044292985	0.0011754261	0.007265286
è	0.009342895	0.062620096	0.70070714	0.09894148	0.035648447	0.0038920746	0.08884794
l	0.0037554596	0.033384528	0.8873601	0.050386902	0.009979245	0.0049141846	0.010219531
i	0.0016606962	0.05213592	0.6485398	0.050677706	0.012742555	0.0041645435	0.23007877
s	0.002638925	0.0070179156	0.52442074	0.38875687	0.07432696	0.000824475	0.0020142132
t	0.0049072914	0.011288627	0.5680424	0.17146018	0.080981515	0.01045495	0.15286504
i	0.003907136	0.008015798	0.4666144	0.4026603	0.08826208	0.0065540816	0.023986174
a	0.007158791	0.007864727	0.07627725	0.6838997	0.1945772	0.009761955	0.020460336
m	0.0016681401	0.012196759	0.0217034	0.31128544	0.5934025	0.01684234	0.042901523
m	0.009294483	0.021427205	0.039017547	0.07545557	0.042500667	0.013400188	0.7989044
è	0.06049858	0.016826706	0.18454342	0.44891933	0.111287706	0.047634877	0.13028944
n	0.15961874	0.0373031	0.16961809	0.23377894	0.0649024	0.038288113	0.29649055
i	0.18021373	0.035046276	0.1574904	0.35600978	0.041307606	0.02543939	0.20449285
a	0.011194395	0.008826896	0.021412844	0.52378386	0.39394447	0.016762026	0.024075428
t	0.0013072774	0.0072983294	0.015975244	0.10037075	0.74307024	0.05638177	0.07559645
t	0.0018903862	0.0018556076	0.023534305	0.029009264	0.24907963	0.07491573	0.61971503
o	0.0014883552	0.0013088149	0.013518449	0.10642864	0.2713687	0.43969423	0.16619281
m	0.0047023525	0.01006656	0.029528238	0.06686977	0.26703763	0.40375695	0.21803854
e	0.0043580336	0.006442236	0.0058179833	0.01133674	0.048157375	0.073841624	0.85004604
k	0.0098103285	0.010048511	0.037847135	0.08302484	0.092311814	0.50723153	0.2597258
k	0.006741787	0.009354128	0.0062564993	0.0059393505	0.02901497	0.14114502	0.80154824
à	0.0556206	0.016026035	0.026397683	0.009182499	0.013668255	0.55519885	0.3239061
n	0.13342203	0.031823616	0.017554017	0.004705529	0.007026399	0.08660948	0.7188589
i	0.23095839	0.08202922	0.017671205	0.00963275	0.006998658	0.13583949	0.51687026
k	0.024039757	0.0140571715	0.0218398	0.053729106	0.009406556	0.6719634	0.20496422
o	0.024082987	0.029664785	0.008465533	0.008568786	0.0049657826	0.6921403	0.23211183
</S>	0.015076291	0.008883847	0.019614588	0.03361107	0.0039016022	0.6273021	0.29161048
