 	il	morto	si	piange	</S>
o	0.94481766	0.0063399277	0.0012174669	0.0072115706	0.04041351
a	0.90362585	0.061748125	0.0026748853	0.00025221243	0.031698924
p	0.0046643093	0.07155625	0.7303486	0.033168864	0.16026197
e	0.008561589	0.03496661	0.3517166	0.045387313	0.5593679
t	0.0063561713	0.98046	0.012032854	0.00017122207	0.0009796828
a	0.0066880803	0.77286893	0.12519167	0.0036550309	0.09159643
m	0.014230407	0.86323804	0.10951476	0.004023137	0.008993658
m	0.015850471	0.11293256	0.12639478	0.038202967	0.7066192
è	0.061189897	0.81707376	0.07035945	0.033602264	0.017774537
n	0.12298554	0.39362937	0.15832032	0.28168347	0.043381296
o	0.05139863	0.23831671	0.27346426	0.28768617	0.14913423
i	0.018226866	0.09275338	0.8209274	0.04694223	0.02115018
k	0.008115256	0.04171112	0.5455376	0.21499361	0.18964247
l	0.007877587	0.013850103	0.07464324	0.10224758	0.80138147
è	0.0012763117	0.008695903	0.14522241	0.693874	0.15093131
e	0.0002979847	0.0037390967	0.066224255	0.76998395	0.15975465
t	0.000449212	0.008622576	0.07029656	0.6461504	0.27448118
e	0.0008031996	0.004976369	0.018449137	0.16812466	0.80764663
</S>	0.004516804	0.0255951	0.012792944	0.68640393	0.2706912
