 	sto	ancora	cucinando	</S>
s	0.9885803	0.002692121	0.0012901783	0.007437343
t	0.08183473	0.042187426	0.26577628	0.61020154
e	0.8931503	0.075916976	0.005123924	0.02580873
a	0.10433809	0.78648007	0.058228143	0.0509537
n	0.02731141	0.06461042	0.24676777	0.6613104
k	0.020618523	0.00076165353	0.041526854	0.93709296
ò	0.9897149	0.0052612405	0.0002862445	0.004737587
r	0.7803052	0.18911064	0.0032873447	0.027296837
a	0.1298592	0.62960804	0.13602835	0.10450444
m	0.5080591	0.2721803	0.08224766	0.13751303
a	0.0032145465	0.006133142	0.8233376	0.16731474
r	0.68370295	0.051237565	0.07702548	0.18803392
è	0.018651081	0.0021505386	0.15186542	0.8273329
o	0.023265421	0.0016865409	0.5558067	0.41924134
n	0.008800965	0.019479483	0.7304298	0.24128976
t	0.0057505923	0.0009824724	0.054167323	0.9390996
a	0.046533056	0.009807333	0.5629346	0.380725
</S>	0.031944826	0.04895603	0.53891504	0.3801841
