 	non	sono	ancora	vestita	</S>
e	0.84413564	0.01021035	0.0021499041	0.00062992	0.14287424
n	0.061910357	0.028394312	0.042062197	0.020884883	0.84674823
ì	0.0018203842	0.88602656	0.003665216	0.018962324	0.089525454
m	0.013717211	0.98378927	0.0012137921	0.00015737722	0.0011223322
e	0.012327599	0.7043797	0.058691725	0.011323353	0.21327776
a	0.001596225	0.29903123	0.6869156	0.00033404364	0.012122975
n	0.0024672565	0.030725952	0.18228622	0.043663826	0.74085677
k	0.002300472	0.033366196	0.016794676	0.106765926	0.8407727
ò	0.005011434	0.7560952	0.067919865	0.14791106	0.023062503
r	0.1786831	0.57151634	0.02783269	0.052294195	0.1696737
a	0.005388773	0.14254746	0.7789581	0.043755822	0.029349864
e	0.09853614	0.039188094	0.20010501	0.23579301	0.4263778
n	0.0024942877	0.013240123	0.03772537	0.15282084	0.7937194
d	0.00048024746	0.005639	0.0011315836	0.14133835	0.85141087
i	0.012378907	0.026647054	0.02442572	0.8701903	0.066358015
m	0.06407753	0.022186203	0.0043994314	0.60835606	0.3009808
è	0.0048604924	0.0040693083	0.018394878	0.939317	0.03335832
n	0.005869308	0.023478689	0.0005773402	0.4606337	0.50944096
i	0.012962461	0.008195352	0.0046553956	0.9223013	0.05188551
</S>	0.028669922	0.023693584	0.010579371	0.41827145	0.51878566
