 	dovevo	comprare	il	pane	</S>
ì	0.99642724	0.0004969833	2.1294534e-05	0.00042367258	0.0026307972
c	0.998094	0.0003065995	0.00070688	0.00032265298	0.00056981266
h	0.98834	0.0020675864	0.0040597515	0.0024059657	0.003126682
a	0.964368	0.028358774	0.0037158446	0.0024321333	0.0011253313
n	0.9982851	0.00099422	0.0003062844	2.1313783e-05	0.00039305125
a	0.6503746	0.12603638	0.19671655	0.004704181	0.022168351
a	0.9267097	0.023337718	0.0095426645	0.0050284676	0.03538129
f	0.6458997	0.0068878448	0.17399547	0.041254636	0.13196234
o	0.11011224	0.009113973	0.7106656	0.078813426	0.09129479
r	0.72171986	0.028655972	0.076182425	0.047426123	0.12601554
à	0.62476146	0.00678187	0.31302965	0.019963939	0.035463057
s	0.2316758	0.0071248524	0.5863995	0.102042206	0.07275761
o	0.0021737616	0.038859427	0.19633076	0.5878299	0.17480615
t	0.005387663	0.0014182118	0.031416867	0.6284362	0.33334103
o	0.008721959	0.0028600614	0.09128212	0.47975487	0.4173809
t	0.018672563	0.00035697978	0.0014600494	0.75039923	0.22911118
s	0.031236554	0.0023567763	0.035170075	0.38684005	0.5443966
o	0.009284224	0.00042138845	0.0016086842	0.8977583	0.09092742
m	0.010462234	0.00032486476	0.0014102629	0.6849713	0.30283138
ì	0.0087327985	0.0014205877	0.008268883	0.8592729	0.12230488
</S>	0.0063613965	0.00069702324	0.0010320137	0.7515163	0.24039336
