 	non	aveva	cosa	a	fare	</S>
e	0.886666	0.07885742	0.00019798584	0.00049619173	0.0028803074	0.030902132
n	0.083509795	0.11020844	0.021529984	0.0069846446	0.011978402	0.76578873
ì	0.00079087395	0.5933097	0.3138124	0.022560664	0.0019017131	0.06762459
c	0.0019353074	0.9939055	0.0033596605	0.0007135824	2.208983e-05	6.380369e-05
h	0.005593095	0.6293289	0.13791049	0.016676588	0.012125478	0.19836546
e	0.00082788296	0.83745784	0.07815775	0.072843224	0.010445589	0.0002676733
t	0.003867691	0.080149904	0.7213044	0.15457898	0.010108848	0.029990114
i	0.00013711382	0.013106159	0.728675	0.11715062	0.011175238	0.12975587
k	0.021523327	0.017193975	0.41268235	0.39669025	0.06773039	0.08417972
à	0.00078602816	0.08036253	0.35425368	0.26586097	0.1524879	0.14624885
m	0.00032451577	0.036254574	0.17571807	0.5410173	0.1896495	0.057036098
i	0.002710309	0.033565264	0.13419844	0.20580284	0.5266071	0.09711598
</S>	0.004202499	0.0024364449	0.015694687	0.07422888	0.70994824	0.1934892
