 	che	non	li	aspetiamo	</S>
n	0.012112376	0.011398053	0.0060176807	0.0044228463	0.9660491
a	0.87919927	0.04922958	0.04153243	0.004525902	0.025512865
m	0.5694383	0.058111425	0.055683713	0.017170038	0.29959652
i	0.016175719	0.14104104	0.71128315	0.09359931	0.03790078
t	0.021409865	0.19037922	0.18298763	0.06288299	0.5423403
u	0.09968568	0.3823094	0.2691706	0.023419803	0.2254145
s	0.0029950535	0.07826282	0.64926326	0.101176955	0.16830187
m	0.14580187	0.083505206	0.22792594	0.04461803	0.498149
ì	0.0026106164	0.014923474	0.75971866	0.17227925	0.05046799
n	0.0005550401	0.007104113	0.6791958	0.12915301	0.18399204
o	0.00033780816	0.0054811006	0.8685463	0.08225364	0.04338118
m	0.0020724214	0.00911536	0.27485174	0.34460655	0.36935398
e	0.047406703	0.0055608954	0.5645032	0.27504683	0.107482396
</S>	0.003714781	0.020881511	0.08683201	0.31944185	0.5691298
