 	l	ho	sentito	che	viene	</S>
o	0.87569	0.09150671	0.00011061441	2.8026656e-05	0.0023005048	0.030364102
n	0.9562903	0.03756347	0.00010487149	0.0001179663	2.078753e-05	0.005902587
ì	0.033460822	0.51320076	0.064659886	0.053982254	0.04686281	0.28783348
k	0.084419996	0.90989494	0.0011333391	0.0003433706	0.0035598741	0.0006484163
u	0.8547862	0.09716349	0.003707362	0.0011290201	0.003903894	0.039310012
s	0.08309404	0.2652728	0.22403707	0.2586387	0.13338089	0.035576474
a	0.053418785	0.19370463	0.13818724	0.120511405	0.025369614	0.4688083
n	0.16933124	0.013111985	0.027229285	0.11767028	0.52502644	0.14763081
a	0.016067902	0.022320587	0.044863615	0.112526685	0.16588019	0.638341
r	0.17434096	0.0013138289	0.0029793628	0.02795942	0.6912757	0.1021307
t	0.010650341	0.015963953	0.0073050675	0.027783964	0.2714844	0.6668123
i	0.10225016	0.0015054431	0.0078069745	0.057303067	0.7341301	0.0970042
</S>	0.076962665	0.0003964663	0.00024561153	0.0021110184	0.7853557	0.13492851
