 	era	molto	stanco	</S>
ì	0.9281561	0.029422188	0.022849388	0.019572264
o	0.9692647	0.022134144	0.0036555934	0.0049456167
n	0.87427276	0.07357514	0.0038830042	0.04826908
e	0.9814089	0.013547311	0.00037911825	0.004664656
p	0.48786172	0.5042887	0.001760215	0.0060893567
o	0.012367452	0.5455285	0.042026542	0.40007752
d	0.101562575	0.8770589	0.014118295	0.0072601875
d	0.012402971	0.31462505	0.067497805	0.6054741
h	0.14193216	0.8484924	0.0054862043	0.00408931
ì	0.008320862	0.8350045	0.13167463	0.025000075
s	0.0032485544	0.58113325	0.36928192	0.046336178
t	0.003723791	0.5079021	0.25529033	0.2330838
r	0.0038454318	0.60672814	0.38553816	0.0038882585
à	0.0043141036	0.30373716	0.6640897	0.02785904
k	0.0015122769	0.04101012	0.8591328	0.098344855
k	0.009606595	0.449392	0.3755595	0.16544195
o	0.0023589153	0.02118895	0.9727349	0.0037171622
</S>	0.0008827702	0.004321571	0.960052	0.0347436
