 	lo	sentii	che	arrivò	</S>
t	0.77541745	0.08279828	6.1128114e-05	0.004772111	0.13695098
o	0.8980356	0.057445973	0.0037901218	0.00064164493	0.040086642
n	0.9535903	0.03116367	0.0011807625	0.00024560635	0.013819576
ì	0.0153941065	0.91206723	0.034362216	0.0029378769	0.035238452
k	0.009601736	0.98419017	0.0014566715	0.0029966591	0.0017546557
u	0.77407205	0.03844948	0.004893816	0.004900967	0.17768376
s	0.08455384	0.25167248	0.47354108	0.12950023	0.060732365
a	0.03395987	0.21842335	0.42551392	0.012996775	0.30910614
k	0.17167033	0.019447068	0.231543	0.3276753	0.24966432
a	0.1013527	0.022227658	0.15996009	0.062423304	0.6540362
ì	0.14374693	0.002980269	0.034303922	0.6246844	0.19428454
r	0.00010105632	0.013264842	0.024390846	0.89306504	0.069178246
t	0.005248075	0.0049273744	0.01972501	0.41094598	0.5591536
e	0.016585587	0.00038785153	0.00704726	0.80020595	0.17577337
</S>	0.034538772	0.0003951368	0.0012822031	0.4903452	0.47343874
