 	che	impara	una	cosa	che	studia	una	cosa	</S>
n	0.77350086	0.08921175	0.0013971943	0.00095185376	0.00025653536	0.0009850741	0.0010678653	0.0015970297	0.13103187
a	0.66427785	0.057219338	0.056133926	0.019355178	0.0054212282	0.010172784	0.0035243211	0.0025485568	0.18134685
m	0.022576058	0.9158697	0.03811539	0.0057143182	0.0016790911	0.0009317183	0.00028824626	0.00021031227	0.0146150505
à	0.11514359	0.599855	0.14222744	0.02990187	0.007134985	0.014992363	0.0041288612	0.0058333487	0.08078257
t	0.00029244277	0.9779384	0.013615717	0.0034954734	0.00010103901	8.016868e-05	8.1581326e-05	0.00025608367	0.0041390136
i	0.06746604	0.6137937	0.08529878	0.05453176	0.004841626	0.029994715	0.005762485	0.009227589	0.12908326
è	0.0009087407	0.616277	0.35041678	0.028016295	0.0022601057	0.00049871585	0.00017151043	5.915835e-05	0.0013917151
n	0.00068432506	0.30550686	0.489666	0.0677456	0.026957171	0.028629772	0.0059515354	0.009990862	0.06486794
a	0.0016034099	0.0570619	0.6633368	0.13758901	0.014874525	0.053001355	0.0044653616	0.003933718	0.06413391
p	0.0014254607	0.046888057	0.6798871	0.21970575	0.03724996	0.00825148	0.001466568	0.0003611678	0.004764458
r	0.025838533	0.02346226	0.70147187	0.069349386	0.027435472	0.04879576	0.005126777	0.0057250033	0.09279504
à	0.0037508232	0.03298566	0.36474425	0.5176499	0.026440168	0.022086047	0.011836892	0.0032614192	0.01724478
m	0.0003898296	0.010616934	0.3093416	0.56560993	0.025885347	0.017075917	0.019959286	0.011887726	0.03923341
a	0.038634874	0.06333777	0.26781446	0.09994487	0.017314957	0.02232129	0.017110392	0.074937664	0.3985837
n	0.008422477	0.009582591	0.0825447	0.65478796	0.13410436	0.03566427	0.040027164	0.0030194197	0.031847104
a	0.0014175605	0.0039562704	0.05886071	0.39106673	0.034985274	0.168828	0.0531923	0.027168382	0.26052472
s	0.018517831	0.012757396	0.047949106	0.26798195	0.13342474	0.19001251	0.1694416	0.032463547	0.12745133
t	0.00046909184	0.0026341425	0.014070865	0.17807496	0.030957246	0.28835616	0.09011526	0.07423389	0.3210884
u	0.0020388889	0.0034023197	0.016046802	0.0887393	0.06309218	0.45657408	0.13972898	0.09466608	0.13571136
d	0.0063223913	0.0064581414	0.02886423	0.028077966	0.02826707	0.38807964	0.35727066	0.071213715	0.08544619
i	0.07769937	0.006546273	0.037549604	0.05265265	0.034200132	0.15085071	0.051380593	0.20546651	0.38365412
è	0.008640174	0.0138224	0.023281397	0.03115737	0.01238974	0.095317185	0.5020923	0.12444456	0.18885487
t	3.1443004e-05	0.0012634499	0.00083892007	0.006623736	0.0021757318	0.41016066	0.3774822	0.15506095	0.046362896
s	0.0019717896	0.0015817536	0.0022432809	0.010716034	0.0016270113	0.036118466	0.07733195	0.4999385	0.36847126
i	0.0031502827	0.0013976897	0.00047430344	0.003996579	0.0007960849	0.027547901	0.1270043	0.63626236	0.1993705
è	0.0038692509	0.0055588717	0.012174238	0.005362361	0.0011272411	0.008624862	0.18994904	0.6231044	0.15022981
n	3.605773e-05	0.000908506	0.0005803413	0.002765184	0.0004638208	0.07554202	0.3271971	0.53926677	0.053240243
a	0.0014449479	0.0009026141	0.0013638987	0.002161178	0.00043011547	0.00921704	0.062058963	0.6498091	0.27261218
p	0.0023340236	0.0031377063	0.0076784245	0.002527593	0.00041526154	0.0025969394	0.046551418	0.7180385	0.2167202
r	0.1564073	0.013476395	0.048203006	0.0054833456	0.0046956143	0.016354127	0.045769103	0.24482217	0.4647889
à	0.00069017714	0.0011410209	0.0014046513	0.000993171	0.00026571928	0.0007897827	0.006664666	0.80285484	0.18519591
m	1.2807417e-05	0.00033324226	0.00013196697	0.00077571574	1.5876372e-05	0.00051752373	0.015576077	0.9017304	0.08090644
a	0.029173076	0.0044242367	0.0053801253	0.0018521611	0.00048203106	0.0005497979	0.011521368	0.42165625	0.52496094
</S>	0.013731757	0.008394175	0.019243818	0.0064568287	0.0017538973	0.0028891158	0.009065428	0.465466	0.47299895
