 	i	bambini	non	si	vestono	da	soli	</S>
t	0.8401916	0.1129508	0.00023768301	9.2191745e-05	0.00015594323	0.00018066162	0.00187727	0.04431389
a	0.8164828	0.14325848	0.0014452407	0.0042714817	0.0059763133	0.00028799425	0.0005365009	0.02774114
p	0.1067457	0.8638531	0.007212268	0.0018263019	0.00069451344	0.00021796004	0.00054857344	0.0189016
e	0.28935304	0.05021637	0.15400434	0.1312892	0.11087683	0.014531634	0.046803188	0.20292547
t	0.0005362283	0.98148066	0.013469566	0.003680849	0.00022464621	2.414474e-05	6.971025e-05	0.000514287
ì	0.0046782377	0.898372	0.008409199	0.009830169	0.0073502986	0.00073329103	0.001768682	0.06885806
a	0.00033804856	0.9587877	0.032475	0.003849399	0.0006232334	0.0003096622	0.0011684111	0.0024485285
e	0.01828754	0.18757004	0.5440983	0.09159357	0.021772753	0.008987028	0.020355962	0.107334845
n	0.0154348295	0.046923466	0.13830256	0.17498195	0.15899175	0.027437171	0.045412865	0.39251536
i	0.00078186387	0.015956147	0.011029104	0.25767514	0.48573065	0.024199981	0.030112136	0.17451492
n	0.0069789058	0.022193486	0.27868956	0.38815784	0.08638807	0.033720315	0.03606222	0.14780962
d	0.00023127646	0.0117011	0.008521934	0.28164658	0.3956044	0.023690606	0.034267887	0.24433616
ì	0.038864776	0.012124066	0.2162134	0.41588497	0.17287992	0.035798144	0.08145588	0.026778836
n	0.0038490968	0.003923838	0.060093038	0.41735953	0.17473127	0.12463198	0.09732677	0.1180844
n	0.03343133	0.004889957	0.21620417	0.08178777	0.041679434	0.021906827	0.20291549	0.39718506
o	0.0008893257	0.000444977	0.008767392	0.16537218	0.5773374	0.2063473	0.032321937	0.008519524
t	0.029881947	0.0020582569	0.0044200765	0.014292818	0.13857679	0.52976334	0.1129651	0.16804163
t	0.0013708575	0.0060156533	0.0026675698	0.025546262	0.33044237	0.078034505	0.10652461	0.44939816
e	0.0014064355	0.0010970026	0.00378704	0.007862428	0.18077679	0.21447659	0.17928566	0.41130796
m	0.024459898	0.0016893141	0.0025895569	0.0060904897	0.054985855	0.31922218	0.3306943	0.2602684
a	0.08685922	0.006099673	0.008039015	0.0063168323	0.12893055	0.040433295	0.14036328	0.58295816
n	0.023979697	0.0032279552	0.0030214828	0.0046757185	0.017511075	0.3044098	0.3868424	0.2563319
e	0.00037285054	0.006954511	0.0012987725	0.013802236	0.11322091	0.1347394	0.21731544	0.5122959
c	0.008806283	0.0010583671	0.0013462078	0.0029553978	0.009622037	0.08552204	0.6089513	0.28173846
h	0.030103296	0.0036210236	0.0049758363	0.004330294	0.033269744	0.064396195	0.28485808	0.5744455
à	0.046926484	0.0035739997	0.004719403	0.0046432014	0.009183393	0.035498396	0.76217777	0.13327733
t	0.028633721	0.005440827	0.003707697	0.0073208744	0.005659653	0.014593409	0.751006	0.18363783
u	0.094853595	0.0041677826	0.0065587815	0.0006511214	0.00044457027	0.0072868783	0.5065958	0.37944153
</S>	0.006689554	0.00088776014	0.00070319424	0.0015748198	0.0015978632	0.0033254153	0.8489001	0.13632128
