 	devo	pulire	l	albero	</S>
è	0.7943491	0.17705469	0.00021615885	0.017774807	0.010605344
n	0.9298442	0.059085105	0.008297211	0.0013149815	0.0014586368
a	0.8354494	0.05802379	0.09170319	0.0020142049	0.012809533
k	0.97624344	0.022050407	0.0015923078	1.2435058e-05	0.000101466496
a	0.035027236	0.19291943	0.43307102	0.19193791	0.14704438
t	0.09854865	0.8885566	0.007545398	0.00097360864	0.004375616
à	0.61041176	0.30100697	0.042499546	0.0048608957	0.041220855
r	0.00969765	0.9554179	0.021945447	0.0073589613	0.0055800877
o	0.0035092984	0.41455895	0.0504962	0.3560057	0.17542988
t	0.005451146	0.12903538	0.6140279	0.18364926	0.06783631
o	0.012033686	0.018874949	0.37984487	0.14303383	0.44621265
n	0.013697464	0.029491642	0.30031815	0.40789643	0.24859631
à	0.01562613	0.015417416	0.16794474	0.21001074	0.5910009
r	0.008539665	0.066539496	0.14325935	0.6485913	0.13307017
b	0.00031860083	0.007795678	0.0048906896	0.82262564	0.16436939
u	0.0014909152	0.020375978	0.0047136373	0.93799734	0.035422172
r	0.006284458	0.0133916	0.003778124	0.8227657	0.15378009
o	0.0024134966	0.0176922	0.0063915234	0.70794624	0.26555657
</S>	0.0034809485	0.01746983	0.009141563	0.4015866	0.5683211
