 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
i	0.9645988	0.011192284	0.0029164674	0.00016170017	0.0005841884	0.00022362065	0.00038097135	0.00016306821	0.00021032355	0.00018379418	6.838659e-05	0.0006359134	0.00018415913	0.000578517	0.0002448252	0.00031943255	0.00046019326	0.00052300777	0.00030575116	0.0008321659	0.0046143895	0.010618056
m	0.81531703	0.14170255	0.004446113	0.008367901	0.0006515436	9.8367105e-05	0.000303389	9.280325e-05	0.00015363192	0.0012178777	0.00029416126	0.00017611132	5.8339243e-05	0.00023877814	0.00039000713	2.9499071e-05	0.0003678177	0.00018491507	1.2774238e-05	1.133889e-05	0.00011111609	0.025773773
à	0.026967328	0.056005802	0.42376596	0.11992632	0.08400278	0.0045512533	0.010644461	0.003440115	0.007096937	0.010702134	0.0039128806	0.0078791	0.001748789	0.00883367	0.008275649	0.002216837	0.011323559	0.014503758	0.0017321113	0.00016888343	0.028853424	0.16344824
n	0.049220115	0.6475441	0.2832457	0.008759404	0.0048548	0.00077528006	0.0010955771	0.0005057189	0.00042778766	0.00016953661	0.00016108541	0.00026554416	0.00011712018	0.00014415951	0.00012510947	3.6476948e-05	4.3745127e-05	5.0587954e-05	1.7185148e-05	1.2908671e-05	3.871525e-05	0.0023892412
a	0.3511778	0.24406229	0.041541383	0.021364398	0.0052865767	0.002186836	0.0075348015	0.002102023	0.0047346605	0.009236147	0.0014225956	0.010020151	0.0009907016	0.016436847	0.007960234	0.0018490412	0.0025600104	0.003991856	0.0009337256	0.00022166973	0.0064318464	0.25795442
c	0.004633908	0.52640176	0.3416209	0.10076226	0.02035178	0.0013031214	0.0011001563	0.0004815915	0.00035534266	0.0011733009	0.00022312634	0.00012273194	8.9568195e-05	6.0914528e-05	0.00095066876	1.5041628e-05	0.00015341466	4.736804e-05	7.958034e-06	4.239099e-06	4.4579856e-06	0.00013644175
e	0.048262365	0.30063495	0.20584796	0.090643525	0.04192304	0.0061838897	0.012883884	0.0056183627	0.008962839	0.032656264	0.0075667384	0.010144823	0.0033011204	0.015465844	0.024863532	0.002562277	0.021519667	0.019307792	0.0021675844	0.00026588904	0.015143013	0.12407462
o	0.002811224	0.17616495	0.69125086	0.07816776	0.037686456	0.0031638988	0.002843128	0.0015395322	0.0011089141	0.00096537644	0.0008883208	0.0004146105	0.00038493078	0.0002648332	0.00066840026	7.264683e-05	0.00057399884	0.00020549307	4.1421546e-05	2.4675128e-05	3.224886e-05	0.0007263391
c	0.0024755513	0.0462895	0.15461676	0.65626186	0.032390345	0.009584901	0.008221749	0.0050712368	0.0037328822	0.031355847	0.0058169197	0.0021750734	0.0018576944	0.0034210777	0.01636156	0.00058622257	0.00523493	0.002215736	0.0003811823	0.00024199147	0.00035541636	0.011351608
i	0.0145821385	0.0218118	0.14057584	0.29659477	0.087280735	0.008725306	0.023336573	0.005259823	0.012083151	0.02486576	0.004492675	0.018926796	0.0018193156	0.022459112	0.018213963	0.004593964	0.007966423	0.009839865	0.0024138244	0.00037178138	0.03164172	0.24214461
ù	0.001016016	0.014915531	0.3246836	0.37756652	0.22979033	0.018495027	0.012213214	0.005982887	0.0039167358	0.0019299746	0.0019351619	0.0008689099	0.0011118323	0.0006404722	0.0013296412	0.00015974711	0.001137501	0.00044281196	0.0001097461	4.9304337e-05	6.6437984e-05	0.0016386794
r	0.00064365816	0.005948339	0.07481556	0.51330835	0.12982726	0.072208464	0.0406699	0.026315179	0.01886097	0.01690742	0.0076628947	0.009272201	0.007545489	0.010154122	0.022403607	0.0048349	0.0031851619	0.004309026	0.004646203	0.0026608352	0.004444805	0.019375637
i	0.0019980976	0.0037166292	0.09721925	0.23395778	0.17791128	0.0304746	0.078674786	0.013777134	0.03581929	0.01095579	0.0033192097	0.042131282	0.0032334055	0.046032462	0.008377584	0.008733043	0.002559484	0.0072209155	0.0036106282	0.0005045997	0.011707331	0.1780655
e	0.0012982995	0.006972442	0.017929165	0.3664515	0.37855655	0.09055447	0.055345178	0.03018153	0.017374666	0.009133466	0.0051711905	0.001569086	0.0042757597	0.0013424911	0.007856753	0.0002755582	0.0036160976	0.00078602275	0.00030459627	7.159187e-05	5.9216e-05	0.000874327
n	0.0010658969	0.009223283	0.006816794	0.4465778	0.1609213	0.08639875	0.062391758	0.029612957	0.024322927	0.062751316	0.015703972	0.010039056	0.007019914	0.013059683	0.023943312	0.0028080607	0.010955635	0.006512712	0.002226313	0.00087914657	0.0011079822	0.015661497
è	0.0007085217	0.0011679832	0.0050752927	0.08987253	0.24477392	0.02597425	0.15785761	0.011864436	0.0756483	0.0048035136	0.0051300623	0.059297975	0.0051688137	0.04043242	0.0021543289	0.026636213	0.0020615507	0.010693344	0.015129672	0.001737832	0.015191916	0.19861946
e	0.00037699813	0.0025667208	0.014395124	0.067777954	0.3320195	0.21536276	0.14927861	0.06928829	0.060690004	0.0017432566	0.0066264854	0.016081143	0.011850324	0.012540524	0.0007167758	0.008113343	0.0018538598	0.0034915793	0.009157622	0.0023539565	0.004713612	0.009001522
n	0.000298412	0.0040403623	0.006322442	0.06905169	0.27749112	0.22838327	0.13602254	0.07606952	0.05897901	0.019939376	0.017130837	0.014426422	0.01628	0.012954745	0.020409811	0.0070600915	0.008868302	0.0072349366	0.008087344	0.0019819643	0.0024229267	0.006544916
è	0.00033472228	0.0013304033	0.0030048308	0.023224495	0.19002368	0.026645763	0.2286065	0.012836474	0.10582867	0.0060642203	0.006344088	0.09829229	0.004783324	0.057567228	0.0021232571	0.034183946	0.0025671353	0.012384761	0.013553402	0.0014633654	0.017019378	0.15181805
n	7.132046e-05	0.00053932756	0.0016620384	0.005166218	0.10613011	0.22443865	0.27254087	0.11759884	0.14466499	0.0043560793	0.009827798	0.02886455	0.023109704	0.016967136	0.0016050326	0.01018151	0.0027066064	0.0040611066	0.015724875	0.0017998328	0.003118287	0.004865066
o	0.0009819729	0.0014306274	0.008291788	0.0125997495	0.28045127	0.08185013	0.13228555	0.03223915	0.058688145	0.0030625714	0.0048728036	0.06885146	0.0050816834	0.034105863	0.0076980772	0.025120424	0.0032217097	0.0050991555	0.00965512	0.002393566	0.10887024	0.113148965
s	0.0010188989	0.0016971052	0.0018385521	0.0016485923	0.039368533	0.17099725	0.20747653	0.17193413	0.15330528	0.025854474	0.06068429	0.019697523	0.05561142	0.015701914	0.013163027	0.003450117	0.04352333	0.005391771	0.0064907237	0.00044618608	0.0001394865	0.000560938
c	0.00044431395	0.001504503	0.0018400184	0.0062117213	0.05999755	0.023211207	0.23676854	0.013571619	0.12622441	0.009826501	0.006509915	0.16307703	0.004761806	0.092038445	0.0034913986	0.043441776	0.0037113642	0.012628661	0.015607824	0.0017458949	0.022756815	0.15062863
e	0.009528222	0.0049036136	0.014964899	0.010290316	0.24970916	0.09108663	0.062772475	0.042369403	0.044196207	0.0020285167	0.0071489643	0.023822088	0.0063550556	0.012304955	0.0035332306	0.014985707	0.008707955	0.0043748026	0.011589747	0.0042583346	0.31619224	0.054877423
r	0.0029238823	0.0036751006	0.0051095905	0.0017656278	0.022127008	0.15665844	0.18247072	0.18027379	0.18694404	0.01797765	0.060252134	0.023443518	0.057613354	0.019380648	0.007167158	0.007358726	0.04149491	0.0064324616	0.013700831	0.0011572359	0.0006697357	0.0014035084
r	0.00017184748	0.0006321111	0.0008644393	0.001681521	0.018882956	0.014081807	0.14312263	0.010214402	0.11160751	0.007516452	0.004414179	0.25974554	0.004370423	0.11849621	0.002460793	0.062254447	0.003298531	0.013909284	0.021197438	0.0026764923	0.041467357	0.15693364
è	0.00012570544	0.00030818887	0.002918309	0.00043045924	0.026359499	0.08167587	0.24915412	0.09255729	0.25168028	0.0080950195	0.022188807	0.09659727	0.031233897	0.040316395	0.006483845	0.024980875	0.009949336	0.010794846	0.018577015	0.0011152439	0.008474887	0.015982822
t	1.1499632e-05	0.00011538185	0.0011767882	0.00013660145	0.0075054783	0.044455536	0.15875557	0.06842535	0.24295671	0.002345632	0.01339191	0.14662333	0.051029265	0.07057334	0.00062531786	0.057860143	0.004823539	0.013138825	0.08577908	0.0054780436	0.01308115	0.011711495
s	0.00260105	0.001444007	0.0028931263	0.0007310952	0.01967035	0.026631173	0.038372923	0.01835625	0.040470246	0.0020279768	0.0055374834	0.07006851	0.0048898603	0.031655744	0.003091541	0.064304605	0.0041660625	0.004803081	0.02606062	0.014206434	0.5126158	0.10540208
o	0.0036087967	0.0005577968	0.0029948463	0.00042991282	0.023757216	0.06058142	0.17705795	0.06872976	0.2688346	0.0013137227	0.0057232725	0.13853307	0.024439974	0.046882678	0.00047139882	0.065632574	0.0026104455	0.0069139022	0.050632108	0.00852544	0.019484093	0.022285128
m	0.003977689	0.002460078	0.0062148604	0.0012594397	0.0067666704	0.033955764	0.06807967	0.079282254	0.18204442	0.03049909	0.086441904	0.06440379	0.12085048	0.072677515	0.02065485	0.030914864	0.1017192	0.021916695	0.057831142	0.003075749	0.001830057	0.0031438004
a	0.020299422	0.029752234	0.023440171	0.004797844	0.051048364	0.03966043	0.047082525	0.030164067	0.043923926	0.03322484	0.02620872	0.051918913	0.014926929	0.024771076	0.0707873	0.027302315	0.047444467	0.02839273	0.0147774415	0.0031539595	0.22554891	0.14137338
