 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.9969463	2.4167271e-05	0.00013375902	2.1559095e-05	2.2121792e-05	3.6865382e-05	0.00023322093	0.002581982
ì	0.7680677	0.0087937	0.06264091	0.015015364	0.017380709	0.01741179	0.048006956	0.06268287
n	0.9945732	0.0016004188	0.00095869025	0.00019726211	0.00010968113	9.027494e-05	0.0009975262	0.0014730368
i	0.3775876	0.10287394	0.19106397	0.05192835	0.08476589	0.036475178	0.052928913	0.10237627
e	0.54965603	0.38300583	0.058453284	0.0024119231	0.0013115981	0.00071960996	0.0004644871	0.0039772224
n	0.12555008	0.38624138	0.1997232	0.024076892	0.0121107455	0.005831834	0.018768674	0.22769721
è	0.1196572	0.008817828	0.7535111	0.0060729943	0.0021941266	0.0028418812	0.0077375243	0.09916752
r	0.35725817	0.121909745	0.49749562	0.010515221	0.002486195	0.0026402446	0.0045915963	0.0031031414
k	0.009921637	0.35681906	0.47671095	0.019037183	0.012725342	0.00704433	0.035459287	0.08228217
o	0.03469779	0.10334819	0.7973299	0.018235283	0.0089625865	0.0118600065	0.02407668	0.0014896082
t	0.012034768	0.020407895	0.6454539	0.19242573	0.056255914	0.0363766	0.01754958	0.01949572
t	0.00730584	0.0067997333	0.5578052	0.021754539	0.009033268	0.0066444855	0.020680435	0.36997655
e	0.0118567655	0.020778274	0.55507344	0.16813366	0.065739594	0.023241056	0.027571011	0.12760614
e	0.013584034	0.0058658514	0.06583419	0.47343558	0.19296579	0.11269059	0.06814589	0.067478046
t	0.0114204455	0.009513798	0.033905823	0.28815812	0.13132988	0.09952454	0.16530094	0.26084647
u	0.021303598	0.001178896	0.11987361	0.07125798	0.021116758	0.030809527	0.11573341	0.6187262
s	0.02252528	0.0040184897	0.027530333	0.22901626	0.23741992	0.21427992	0.18294115	0.082268655
m	0.007532001	0.0005623796	0.055157114	0.04228103	0.017800987	0.027867569	0.1409017	0.7078971
è	0.002790851	0.0015722736	0.011004679	0.2821146	0.13033275	0.16134611	0.39231735	0.018521378
n	0.013925257	0.0019704178	0.018011002	0.08837216	0.14800188	0.21983406	0.42002624	0.0898589
o	0.013226862	0.01140875	0.0045457324	0.036559008	0.06439797	0.047573518	0.71755916	0.10472898
m	0.010900343	0.0034019032	0.010161002	0.01156919	0.12948243	0.11302354	0.60789955	0.11356198
e	0.0077199293	0.01873055	0.009055464	0.021993397	0.06553584	0.02528189	0.547092	0.30459088
t	0.021218447	0.00423253	0.013711005	0.0052888473	0.03926533	0.03511621	0.6441436	0.23702404
r	0.0014604005	0.0006145517	0.018904459	0.0023437524	0.0031153397	0.0036756191	0.19367139	0.77621454
ò	0.0039947624	0.0037818078	0.010178623	0.0077432296	0.024706107	0.025772937	0.69663656	0.22718598
m	0.0024843619	0.0016095762	0.07604057	0.016888166	0.030650357	0.044960782	0.4652984	0.36206767
e	0.004645036	0.0038800517	0.0027169136	0.0015694717	0.005064568	0.004723389	0.7933072	0.18409333
</S>	0.012410486	0.0031177753	0.013405096	0.0019339223	0.0071858997	0.010350262	0.323813	0.62778354
