 	non	ci	dimentichiamo	mai	</S>
e	0.9840247	0.000103603175	9.885319e-05	7.404129e-05	0.015698807
n	0.27932233	0.16979176	0.0149404	0.009488928	0.5264566
è	0.023301214	0.030382268	0.81623054	0.01593129	0.11415459
n	0.6331177	0.19729277	0.1661997	0.00036343525	0.003026512
a	0.035200175	0.5078285	0.24673179	0.012952514	0.1972871
a	0.0020216112	0.96294403	0.024157355	0.0010691263	0.0098078605
l	0.0028572257	0.036077578	0.49217817	0.017823923	0.4510631
l	0.00026960784	0.00077748165	0.910744	0.010382817	0.077826135
i	0.00036768953	0.0009723389	0.9540762	0.027715754	0.016867947
m	0.004220801	0.012622904	0.42652816	0.33144584	0.2251823
o	0.00195945	0.029984817	0.5081802	0.35409158	0.10578398
n	0.013873584	0.0055688717	0.07819227	0.42045954	0.48190573
i	0.00036815624	0.0006012528	0.2713977	0.15558383	0.572049
s	0.004036292	0.0034713808	0.02016278	0.8054225	0.16690707
t	0.00030815735	0.00057234097	0.1328197	0.1830077	0.68329215
ù	0.002943931	0.0018037796	0.017097423	0.93165463	0.046500307
m	0.0003320412	0.00017277098	0.11289568	0.698688	0.18791154
e	0.00686074	0.0059170807	0.023573283	0.7220069	0.24164192
s	0.0033620978	0.0028947294	0.0050688945	0.6271673	0.36150697
t	0.0018382133	0.011154012	0.03195783	0.2465005	0.70854944
a	0.007192604	0.006795036	0.0050558965	0.84257233	0.13838421
m	0.011501476	0.057209857	0.14821541	0.4751722	0.30790102
à	0.010946661	0.11428624	0.04948092	0.44748116	0.37780502
i	0.0039276383	0.0005368442	0.1296426	0.6211272	0.24476571
</S>	0.007697244	0.026061455	0.40749753	0.41224986	0.14649387
