 	nella	pasta	vuole	sale	</S>
s	0.5572571	0.01254088	0.010359274	0.017304681	0.40253803
t	0.06764711	0.10299819	0.07888176	0.08147478	0.6689982
i	0.6906809	0.18831073	0.03896181	0.0119527355	0.07009385
p	0.32198155	0.4380068	0.09159699	0.03028896	0.11812573
à	0.002308546	0.027139924	0.5451577	0.13826592	0.28712794
s	0.023059111	0.6530418	0.26372734	0.0133120185	0.04685971
t	0.009628979	0.24375007	0.21936406	0.05715145	0.4701054
a	0.01893333	0.44930047	0.5290957	0.0014000695	0.001270382
t	0.023674326	0.04149489	0.8613278	0.04100706	0.032495905
è	0.0015205651	0.012579777	0.7009117	0.11023582	0.17475215
l	0.00045932207	0.007433046	0.6702699	0.27258104	0.049256686
i	0.0006997118	0.008880995	0.5846342	0.1814667	0.22431834
à	0.02563727	0.010116469	0.1547059	0.6405499	0.16899046
l	8.6099186e-05	0.00055701286	0.011899197	0.9479958	0.039461985
a	0.0002310217	9.4838964e-05	0.0013849217	0.9780638	0.020225357
</S>	0.0031009244	0.00047987033	0.0005609503	0.24302171	0.7528366
