 	un	forno	che	fa	buon	pane	</S>
è	0.9377426	0.0029887136	6.591836e-05	0.00014777585	0.0064212116	0.027774928	0.024858754
n	0.67875296	0.050791107	0.0030730232	0.0063772085	0.10545013	0.049477503	0.10607806
a	0.1982402	0.49845138	0.020772293	0.023025146	0.10409991	0.0036788287	0.15173219
f	0.22688526	0.7240424	0.047278263	0.0005892638	0.0010553804	1.6529564e-06	0.00014782921
ù	0.02515132	0.3543583	0.050605796	0.025039015	0.09909018	0.008687042	0.43706837
r	0.06804137	0.88824403	0.006356178	0.0073991474	0.020487543	0.0053780475	0.0040936703
n	0.06481175	0.35560322	0.062326536	0.017320713	0.021300673	0.045398686	0.4332384
o	0.013216877	0.7124992	0.19220413	0.05485882	0.024881793	0.0010802048	0.0012589672
k	0.020702982	0.37434223	0.4846585	0.074827366	0.019220246	0.0062071495	0.020041386
a	0.013958675	0.17209718	0.18995766	0.04013404	0.065566994	0.055018466	0.46326706
i	0.075688355	0.13167505	0.38311037	0.33927435	0.024087062	0.0151451435	0.031019617
k	0.010574206	0.13092826	0.10668728	0.27229357	0.2402351	0.07140584	0.16787578
à	0.0064279344	0.013735646	0.027094636	0.03682446	0.17148393	0.14453842	0.59989494
n	0.00225339	0.0047671655	0.003027676	0.55207664	0.07542112	0.27422264	0.08823139
n	0.0016138894	0.0023807017	0.008881913	0.012212281	0.03313339	0.4760443	0.4657335
i	0.02990038	0.00919433	0.012441139	0.56038254	0.0060834717	0.25941074	0.12258745
t	0.028554542	0.030149886	0.015012227	0.03950758	0.00070096774	0.6945871	0.19148767
s	0.0017370608	0.0023815988	0.0009929003	0.0076311743	0.012705634	0.15202934	0.8225223
o	0.0071690115	0.0045173657	0.0027752153	0.011943846	0.0011076131	0.6252941	0.34719285
m	0.012020355	0.018459821	0.007616042	0.010718382	0.00043447135	0.6885792	0.26217175
ì	0.010540645	0.012352961	0.0064013083	0.00079359935	0.0028607296	0.60429245	0.36275825
k	0.00037926328	0.00055688416	0.00013129081	0.003707511	0.0002522213	0.8795061	0.11546681
a	0.010593024	0.00559185	0.004823272	0.00030412263	0.0009897443	0.7885412	0.18915679
l	0.025801308	0.017903809	0.0073691886	0.0041784807	0.000104618746	0.17324848	0.77139413
ò	0.0013702421	0.008859228	0.0032262674	0.007689503	0.014369803	0.24819264	0.7162923
</S>	6.0764167e-05	0.00014585939	2.4974883e-05	0.0072691906	0.0016387289	0.41217053	0.57869
