 	io	non	ho	cosa	da	mangiare	</S>
e	0.9994289	1.7497476e-05	7.4805193e-06	8.5245915e-07	4.4353e-06	1.395361e-05	0.00052686094
v	0.97468954	0.0010347896	0.00024469921	0.00017564282	7.797619e-05	0.00040222835	0.023375064
ò	0.040820193	0.0065491996	0.06566821	0.22608642	0.17117342	0.12027393	0.36942863
e	0.21688552	0.7193262	0.06200315	0.0010603197	0.00028202642	8.540319e-05	0.00035741145
n	0.416332	0.24555089	0.10530935	0.011606726	0.0049020285	0.014289538	0.2020094
è	0.10036161	0.11509034	0.53759366	0.10038741	0.0124417115	0.010338777	0.12378653
c	0.15467943	0.33123323	0.4386162	0.040069696	0.02505719	0.006658288	0.003686178
h	0.00767973	0.18871553	0.41949743	0.052609615	0.0209908	0.0355099	0.2749969
o	0.0029811794	0.08086412	0.65038794	0.1329317	0.12531814	0.006032212	0.0014847493
t	0.0052832994	0.0045014853	0.05250585	0.69542205	0.19840223	0.02069181	0.023193229
i	0.00653045	0.0025606018	0.05678314	0.37150243	0.1406479	0.14197281	0.28000265
è	0.010789007	0.0014843043	0.008803917	0.48153442	0.29568055	0.11611162	0.08559615
n	0.032808587	0.0013293892	0.004933386	0.077588156	0.26588154	0.587971	0.02948798
a	0.0006730761	0.0054049436	0.016062055	0.31375858	0.18788503	0.30007884	0.17613745
f	0.0039939573	0.00083734666	0.0023136712	0.0436321	0.04434808	0.78577584	0.11909898
à	0.0035333417	0.0019569786	0.006745382	0.057197846	0.06724454	0.48215467	0.3811672
o	0.0012611166	0.00015499334	0.0011097022	0.0027619181	0.017130906	0.9468294	0.03075202
</S>	0.0006679813	0.0005223825	0.0030096348	0.007242537	0.012337608	0.877418	0.098801866
