 	sta	e	dorme	nel	letto	</S>
s	0.93899757	0.020365827	0.0018271023	0.00023483032	0.012979673	0.025594898
t	0.08722455	0.12686571	0.18090211	0.013915452	0.077941455	0.5131507
e	0.74792325	0.20533574	0.018519908	0.0036019054	0.004484966	0.020134224
c	0.10850288	0.80431986	0.042616427	0.006087634	0.0075706425	0.030902384
e	0.0070323036	0.2261382	0.20052293	0.010438704	0.03403343	0.5218345
p	0.04857579	0.92728615	0.019868251	0.0005556887	0.00026007893	0.0034540615
l	0.0049079144	0.07117358	0.21714832	0.01443291	0.05636832	0.635969
ò	0.011527118	0.6046515	0.36374208	0.003496884	0.0026157962	0.0139666
n	0.0045212973	0.23018989	0.6399267	0.021072777	0.015744371	0.08854499
n	0.0051655546	0.05293282	0.1658315	0.0056379293	0.022910723	0.74752146
i	0.08459132	0.24890375	0.6564797	0.005138772	0.00065197214	0.004234479
s	0.027482284	0.05870754	0.6358333	0.16491455	0.036286306	0.07677603
t	0.003831112	0.0050367564	0.07570985	0.039553925	0.06160059	0.8142678
o	0.04998606	0.12668823	0.33411375	0.08116394	0.08627579	0.3217722
g	0.015982755	0.04435769	0.12104101	0.4632778	0.1908898	0.164451
r	0.005064999	0.01596332	0.021405658	0.09338325	0.2438564	0.6203264
à	0.09913283	0.079101115	0.10097262	0.15700401	0.31136096	0.25242844
t	0.0003778176	0.005940667	0.034123767	0.20577167	0.64589596	0.10789013
t	0.0062564965	0.019390514	0.004603973	0.016008887	0.11886129	0.83487886
i	0.34645012	0.14191577	0.057686232	0.080334574	0.16247109	0.21114214
</S>	0.029089259	0.06640297	0.046024993	0.024292193	0.3330223	0.50116825
