 	ho	cosa	a	fare	</S>
è	0.99329835	0.00040204223	0.0005371727	0.00067237904	0.0050901044
c	0.9198396	0.03745681	0.016037056	0.004418439	0.02224799
h	0.10688153	0.28210697	0.06579354	0.019281527	0.5259364
o	0.25529453	0.21674217	0.43976393	0.07545203	0.012747328
t	0.06106855	0.8381945	0.0576736	0.0072902394	0.035773195
i	0.0027844615	0.7963011	0.09776037	0.0035020125	0.099652015
k	0.023178771	0.320153	0.5180333	0.057062637	0.08157231
à	0.00100347	0.049049977	0.31289393	0.15585442	0.48119825
i	0.0032634626	0.046626862	0.51627827	0.3520225	0.08180893
</S>	0.0024151048	0.019718139	0.11816394	0.5914162	0.26828665
