 	entrò	da	qui	</S>
m	0.9634415	0.0074185794	0.0075208554	0.021619098
b	0.0044119605	0.011762277	0.045403466	0.9384223
ì	0.701155	0.27120516	0.004295527	0.023344323
k	0.21645634	0.7320791	0.026111176	0.025353426
e	0.015783982	0.19392046	0.042903308	0.74739224
a	0.04681163	0.83784324	0.103856534	0.01148851
p	0.0052833967	0.12244739	0.54599863	0.32627064
ò	0.00043823893	0.0035119131	0.43558207	0.5604678
t	0.0016764224	0.0071036373	0.9101457	0.0810742
t	0.0008813804	0.011767575	0.5653979	0.42195314
u	0.017043598	0.009780485	0.938949	0.034227
</S>	0.0067600645	0.004506817	0.56086695	0.4278662
