 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.4066517	0.5429818	0.0022922081	0.027461361	0.0026130858	0.0011666571	0.016833091
i	0.82823	0.043333795	0.009865347	0.020011133	0.0023143496	0.0015215513	0.09472364
ù	0.4215336	0.5645813	0.0030860398	0.00074920576	0.00013740949	6.827024e-05	0.00984418
m	0.014657847	0.8243876	0.10974127	0.023959985	0.007897224	0.0015484643	0.017807689
è	0.43029955	0.42329156	0.023819018	0.007434087	0.0011569101	0.00066170126	0.1133371
s	0.006239363	0.964588	0.020819617	0.006453329	0.0007337243	2.3286351e-05	0.0011425837
a	0.057365697	0.7983229	0.06482386	0.03850776	0.0077478	0.0006604876	0.032571524
è	0.023381406	0.35525244	0.46924177	0.13555193	0.011521698	0.00031007754	0.0047406224
n	0.0008031844	0.03321637	0.6281624	0.29475075	0.025360094	0.0033052352	0.014401917
a	0.0031441574	0.013354109	0.597617	0.15007335	0.008194094	0.02234839	0.20526889
v	0.028097302	0.009323385	0.28290007	0.54106474	0.11449295	0.008379223	0.015742304
à	0.041176196	0.00936027	0.22520763	0.09821072	0.009281433	0.02507065	0.5916931
l	0.0014084355	0.0035730998	0.057807487	0.7476733	0.1322201	0.028667286	0.028650232
i	0.00090555154	0.005044965	0.07126537	0.12954763	0.056138944	0.2363193	0.5007782
è	0.056388013	0.0050628544	0.013257593	0.32169902	0.50770265	0.053186167	0.042703733
n	0.00031048048	0.0022313935	0.0078788875	0.24113442	0.5559526	0.1495071	0.042985093
a	0.0021023406	0.0055747004	0.00895422	0.05992099	0.2072186	0.31776777	0.39846137
t	0.047947355	0.002193228	0.0027286392	0.015685847	0.12303652	0.61047643	0.19793202
a	0.0072934963	0.00083804247	0.006016621	0.04043548	0.30705157	0.3536576	0.28470722
p	0.058649253	0.0032561778	0.0015949757	0.015612506	0.106812455	0.51236546	0.30170923
p	0.042930223	0.008691778	0.0147609105	0.031088986	0.099532105	0.19076033	0.6122357
è	0.3400171	0.01190433	0.0018014807	0.014952807	0.17707206	0.13142073	0.32283145
t	0.28665185	0.009953587	0.0031744204	0.013902186	0.19557895	0.24875262	0.2419864
o	0.31044978	0.04286007	0.006425127	0.0075629144	0.041394763	0.034982536	0.5563248
</S>	0.16877975	0.0061940877	0.0032885852	0.013088607	0.024662979	0.3004297	0.4835563
