 	che	non	li	aspettiamo	</S>
n	0.011857671	0.011980935	0.005276885	0.0044103903	0.9664741
a	0.8809066	0.048881013	0.041569274	0.004760498	0.023882598
m	0.5622956	0.060280453	0.049959596	0.017680876	0.30978346
i	0.01647901	0.14816166	0.695324	0.101208515	0.038826838
t	0.021734463	0.19374748	0.15789895	0.06420655	0.56241256
u	0.10232935	0.38443214	0.27690557	0.023785502	0.21254739
s	0.0028920018	0.08341435	0.63042253	0.110323004	0.17294814
m	0.14749222	0.08714012	0.24028204	0.04495805	0.48012754
ì	0.0024920797	0.015027804	0.75041705	0.1814254	0.050637648
n	0.00049777946	0.007290927	0.66293454	0.14397334	0.18530345
o	0.00036554664	0.006493177	0.84227854	0.09781314	0.0530497
m	0.0018698939	0.009042229	0.24843875	0.3642408	0.3764083
e	0.049638685	0.005957298	0.53234404	0.29493436	0.11712562
</S>	0.003235452	0.019895602	0.07826249	0.33570197	0.56290454
