 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9970477	0.0013661487	2.5258067e-05	2.5837275e-05	9.5570715e-05	0.000121862475	0.001317696
c	0.9967438	0.00029454316	0.00060914503	0.00038573772	0.0001718052	0.00032946275	0.001465444
h	0.980663	0.0033903266	0.003693633	0.0063265325	0.0011826198	0.0011443514	0.0035995555
a	0.8856996	0.1007685	0.010314925	0.001204973	0.00068153895	0.0007490575	0.0005815857
n	0.9983462	0.0008703483	0.00053776335	2.7288632e-05	6.234173e-06	1.5819277e-06	0.00021068336
a	0.66277	0.09566591	0.19289698	0.008421696	0.000745768	0.0006443561	0.03885537
a	0.9257566	0.044231243	0.0077148215	0.0014818998	0.0005288918	0.00050014525	0.019786436
g	0.7386576	0.010872224	0.060016397	0.02148117	0.008501264	0.009377071	0.15109424
o	0.007083596	0.0015785965	0.07081614	0.45199332	0.30827057	0.1323917	0.027866011
r	0.74473435	0.048095267	0.0854352	0.043921668	0.013059729	0.0044456376	0.06030815
à	0.83446354	0.0046913824	0.08512227	0.023587048	0.0035361655	0.004646008	0.043953713
s	0.095537014	0.003946769	0.17859663	0.4702891	0.18284911	0.034234628	0.034546793
o	0.001827001	0.0372209	0.19499826	0.19783099	0.19102907	0.27369446	0.10339937
o	0.005379588	0.0035063932	0.035758186	0.52205336	0.3057084	0.057257332	0.0703367
s	0.013202766	0.00069658563	0.006700018	0.24391985	0.32020107	0.1054987	0.30978104
s	0.021307819	0.00095108827	0.025140816	0.20560619	0.10649633	0.12660846	0.5138893
o	0.012069999	0.00012955938	0.0015581405	0.21013215	0.55444664	0.20824543	0.013418115
m	0.0050073415	0.00020897079	0.0007738629	0.08800802	0.3102758	0.49524888	0.10047707
ì	0.0012867016	0.00019843888	0.0017303155	0.12530115	0.72689044	0.13362047	0.010972473
k	0.004249533	0.00078799925	0.0012507254	0.028933885	0.29889822	0.56912565	0.09675398
a	0.0048112785	0.0012352404	0.0019128092	0.01585343	0.36388582	0.56557614	0.046725314
m	0.009635103	0.00085025304	0.0007094983	0.002590835	0.012343656	0.8199966	0.15387404
è	0.003734554	0.0010793791	0.002484494	0.017262707	0.27004316	0.6667869	0.038608793
r	0.0022287476	0.0002717748	0.0008730465	0.005044748	0.016684376	0.89618576	0.078711554
i	0.0152823925	0.006806738	0.011685656	0.022786664	0.1379143	0.7289755	0.07654879
</S>	0.033545807	0.004387309	0.005075994	0.00951768	0.010549609	0.48007655	0.45684713
