 	vuole	pianto	</S>
i	0.8002714	0.13744745	0.0622812
t	0.964631	0.0023493865	0.03301954
è	0.24012809	0.51322055	0.24665138
l	0.8387653	0.15658914	0.004645504
i	0.684775	0.052439738	0.26278523
k	0.30744547	0.5998848	0.092669755
l	0.0034802628	0.11358093	0.8829388
a	0.013869093	0.97144026	0.01469061
m	0.0028164398	0.8041216	0.19306195
m	0.0018339063	0.161896	0.83627003
è	0.030406822	0.83440095	0.13519235
n	0.074585244	0.566473	0.3589418
o	0.028994245	0.5946496	0.37635612
</S>	0.008392236	0.286896	0.7047118
