 	è	che	sono	usciti	</S>
è	0.98823696	0.0009772239	0.00058502593	0.0019070257	0.008293723
n	0.79378563	0.13227911	0.05319977	0.0046710484	0.01606444
a	0.5096799	0.43565556	0.033142935	0.0070281173	0.0144934645
g	0.8174974	0.17986812	0.0011906325	2.7255823e-05	0.0014165975
u	0.01289143	0.16128933	0.24344988	0.47211456	0.11025484
ì	0.60446554	0.080768816	0.22220938	0.0032806476	0.089275606
k	0.029018402	0.07493654	0.84053004	0.016769389	0.03874563
a	0.0006695321	0.010763572	0.6674586	0.27682346	0.044284865
n	0.015488671	0.00077464845	0.023022559	0.1313007	0.8294135
e	0.01410244	0.01091587	0.097675204	0.30707005	0.57023644
</S>	0.06184626	0.0015643872	0.018135766	0.3174246	0.601029
