 	non	ti	dimentichiamo	mai	</S>
e	0.9196042	0.00056401064	0.0011265673	0.0004522066	0.07825303
s	0.20714761	0.18331166	0.040085442	0.0115982	0.55785704
e	0.0018366647	0.4401257	0.5298157	0.004305726	0.023916196
a	0.110616855	0.74341106	0.09861516	0.0020030001	0.045353934
l	0.0072792843	0.28501725	0.46950683	0.01255434	0.22564231
l	0.00043295472	0.008638475	0.96660656	0.0059233312	0.01839866
i	0.0023229262	0.07276479	0.90778697	0.013188805	0.0039364514
m	0.003514634	0.04565989	0.4337673	0.21170875	0.3053495
o	0.000855046	0.011796455	0.7099862	0.20482616	0.07253609
n	0.012324945	0.008719554	0.09808337	0.35293618	0.527936
ù	0.00078275404	0.025175957	0.32008156	0.18957497	0.46438473
m	0.0003818581	0.001445114	0.21415958	0.6691514	0.11486205
e	0.0046050535	0.006345556	0.26792088	0.45400923	0.2671193
m	0.0022687993	0.0012447085	0.003130803	0.5386336	0.45472208
à	0.0021454322	0.003689456	0.009575162	0.8364335	0.1481565
i	0.00043748168	0.00047171416	0.006853384	0.8143164	0.177921
</S>	0.0040326943	0.007954485	0.053998698	0.44675377	0.48726034
