 	non	ho	cosa	a	fare	</S>
e	0.9759463	0.0030218111	6.441451e-05	0.00039271638	0.0015934438	0.018981181
n	0.08080045	0.096568905	0.043387637	0.008637225	0.012650021	0.7579558
è	0.002050771	0.41760764	0.44637325	0.05026222	0.0033952682	0.08031088
c	0.024710877	0.9510339	0.0154286055	0.008286929	0.00014763398	0.00039199236
h	0.0053811227	0.5758767	0.15951146	0.030384867	0.011597404	0.21724851
o	0.0020676516	0.44650057	0.11421477	0.38203627	0.054113742	0.0010670022
t	0.0027800307	0.047132175	0.7756659	0.13700826	0.01068696	0.02672677
i	0.00015497544	0.017012013	0.7269978	0.13869753	0.0121039655	0.10503371
k	0.0098299105	0.005804694	0.49390128	0.33795437	0.08171006	0.07079972
à	0.0007724076	0.010541328	0.42815578	0.27842885	0.16181168	0.120289974
m	0.00057476776	0.0042440603	0.1478323	0.4576699	0.32390702	0.06577204
i	0.002495945	0.005792629	0.13839674	0.26765248	0.5187401	0.06692206
</S>	0.0033400035	0.0017939679	0.017389802	0.028038165	0.7430531	0.20638499
