 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.86598456	0.067217305	0.01671416	0.0039172317	0.00039785795	0.0067232884	0.0033205792	0.0046211234	0.031103931
ù	0.85876775	0.11673281	0.0043551032	0.0015660663	0.0009517878	0.002585184	0.0006977009	8.5532e-05	0.014258095
o	0.8406412	0.08980938	0.006705126	0.009500115	0.0016236482	0.0072066444	0.0031019226	0.0038490864	0.0375629
o	0.117840305	0.67736924	0.11434356	0.015884882	0.014764642	0.0034200158	0.0034095685	0.0010268475	0.05194092
f	0.0074411207	0.76938343	0.20850015	0.0013215311	0.007515018	0.0009418958	0.0007073751	8.5980675e-05	0.0041035167
r	0.0069897976	0.06887061	0.32653475	0.016186493	0.010929874	0.13359934	0.011813336	0.009349067	0.41572672
a	0.035661858	0.93701637	0.02671091	0.00020928375	0.00017003278	5.0903458e-05	2.1805019e-05	2.991879e-06	0.00015582757
b	0.0067803375	0.8642952	0.12280328	0.0033500872	0.0019255445	0.00018110951	0.00015480012	3.2625358e-05	0.0004769696
b	0.02435148	0.10394959	0.29162407	0.10248264	0.0066641076	0.013783526	0.0025084147	0.0045558875	0.45008028
i	0.01485439	0.23898464	0.10863143	0.60317177	0.01022484	0.0059479787	0.00038180075	0.00096016884	0.016842956
k	0.0052008717	0.22654903	0.42358792	0.31720746	0.011571141	0.0017925211	0.0007001816	0.0014139944	0.011976811
è	0.07239664	0.18517941	0.21025461	0.27993888	0.014329076	0.009608827	0.0022814195	0.05818144	0.16782969
s	0.0002590163	0.020701274	0.79927295	0.16834608	0.006360104	0.0016811818	0.00054387265	0.00052005413	0.0023153946
s	0.014547994	0.080473125	0.12004901	0.21816072	0.004178015	0.010437536	0.0018404257	0.016706357	0.5336068
a	0.0018040589	0.010700961	0.6364269	0.3201902	0.008906865	0.016755601	0.0029389025	0.00067263487	0.0016038946
n	0.0050019743	0.0076398035	0.50629956	0.4347049	0.03434977	0.005390013	0.0033602875	0.00048798704	0.0027658085
o	0.0023513976	0.004969049	0.4720389	0.07769198	0.0706727	0.20640759	0.020370202	0.005501169	0.13999695
m	0.0052341996	0.008764059	0.30571526	0.5859382	0.06603398	0.013019818	0.007597779	0.0011982585	0.0064983657
a	0.029374273	0.024985911	0.2443964	0.1094165	0.024365949	0.054468803	0.009404093	0.008119771	0.4954683
s	0.0028758955	0.008303486	0.14271396	0.7192287	0.089762464	0.019485703	0.011508706	0.0010816796	0.005039365
t	0.0009832183	0.002992663	0.12124095	0.06496242	0.12429485	0.5491588	0.07216398	0.005267019	0.058936168
ò	0.0011082825	0.002427029	0.14526583	0.6615967	0.061666623	0.065889016	0.018290943	0.009729935	0.03402571
r	0.000112680835	0.0013255135	0.031770546	0.4337759	0.09595512	0.28149787	0.107007094	0.025076283	0.023478983
i	0.0061833644	0.0012449787	0.01081858	0.4506953	0.006483832	0.03203563	0.004913877	0.054032065	0.43359235
k	0.011373979	0.009368837	0.044091612	0.5722	0.13013819	0.09052548	0.116573885	0.010743986	0.0149839865
a	0.05336394	0.02883822	0.051842403	0.11514581	0.03771802	0.05727207	0.02805514	0.045580395	0.582184
ì	0.022109838	0.021997528	0.07391563	0.4329175	0.08852559	0.09409348	0.17630512	0.042112302	0.04802297
a	5.709495e-05	0.00037103798	0.0029101854	0.0283021	0.022550568	0.41587013	0.39728102	0.08766975	0.044988006
n	0.0005742478	0.003361557	0.036127012	0.08054421	0.028127292	0.23304418	0.32288152	0.16987325	0.12546673
e	0.00063119543	0.0009798612	0.006619178	0.007073103	0.016813533	0.57125574	0.1781701	0.033773217	0.18468405
e	0.0032951813	0.009311329	0.0702585	0.106347695	0.015307255	0.07359931	0.26107582	0.29267368	0.16813119
f	0.00045583685	0.004664036	0.030701458	0.016305592	0.02832413	0.15874064	0.6478875	0.051283974	0.061636858
r	0.00048072898	0.0005685815	0.0034485932	0.0076738377	0.014201245	0.63994193	0.11649269	0.026244787	0.19094755
a	0.00022164965	0.00023656216	0.0037108837	0.01797857	0.001331977	0.017566167	0.06201841	0.72451186	0.17242391
b	0.00092903705	0.0047535747	0.041124504	0.022077765	0.0027193837	0.016282337	0.05652576	0.6745425	0.18104517
b	0.009285306	0.003956501	0.010360058	0.019912465	0.005671313	0.08946141	0.046483327	0.09321323	0.72165644
i	0.060957644	0.0051467484	0.010565509	0.0737781	0.001059905	0.015731696	0.010818075	0.5187526	0.30318972
k	0.01079249	0.0024530515	0.012469581	0.14738557	0.003021702	0.025522385	0.04813207	0.4856533	0.26456994
a	0.05621937	0.011874832	0.0030667651	0.009254904	0.003096211	0.005119161	0.013606099	0.6828709	0.21489167
t	0.003231244	0.0032919685	0.022865636	0.03157833	0.0013567164	0.0028460014	0.004525309	0.77282995	0.1574748
ò	0.00032417118	0.00087011885	0.004631895	0.002883611	0.0007024149	0.03014746	0.060366005	0.34522513	0.5548492
r	5.748799e-06	2.4731704e-05	0.00041231874	0.0015689717	4.7256977e-05	0.0017011206	0.004987299	0.91009116	0.081161305
i	0.002678027	0.0007253323	0.0016142431	0.0047247023	0.00016173735	0.0007292539	0.0011457313	0.42964992	0.55857104
</S>	0.004689415	0.005922912	0.043514732	0.0342511	0.0015405962	0.0022465624	0.0013262468	0.31102538	0.59548306
