 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.7784171	0.16473705	0.025053129	0.0012695789	0.0035971317	0.00031444637	0.0012163817	0.0071599954	0.01823525
j	0.13865587	0.8588746	0.0008289976	0.0001270669	2.6248057e-05	4.0900606e-05	1.1905316e-06	6.0022526e-06	0.0014391146
i	0.013240033	0.021134963	0.30744684	0.040870238	0.019424299	0.0050445227	0.00019112787	0.013679975	0.57896805
n	0.019130895	0.9356207	0.0391849	0.00082553586	0.00050489826	7.719434e-05	2.3944862e-05	6.250303e-05	0.004569454
è	0.019431217	0.5955932	0.2927006	0.026517572	0.009496256	0.005000878	5.9496473e-05	0.0010396283	0.05016111
k	0.015299296	0.91349787	0.0681612	0.0013921064	0.00034553447	0.00011414073	8.967882e-05	0.00058562454	0.0005146218
a	0.14165753	0.5559843	0.09661549	0.039433688	0.025171338	0.0067125773	0.0026350634	0.0026681493	0.12912194
p	0.0036706845	0.16544627	0.7083525	0.09875932	0.019711316	0.003281487	0.00022255324	0.00012489571	0.00043098908
u	0.011976712	0.117269695	0.34749377	0.18353114	0.058261197	0.06303455	0.0015208294	0.0044259187	0.21248625
l	0.0059142117	0.027389105	0.8195885	0.12087412	0.021776278	0.0028524816	0.00027756928	0.0003047383	0.0010230235
i	0.0026174467	0.017991858	0.5885297	0.14828274	0.06522173	0.02729063	0.0016112201	0.041743536	0.106711045
z	0.006164091	0.004259472	0.6239313	0.28351095	0.0727377	0.003980466	0.0010491874	0.001654866	0.0027119673
z	0.0021896681	0.00840233	0.3318146	0.21370709	0.087683134	0.044342138	0.0022552987	0.026487194	0.2831186
è	0.007937132	0.003308014	0.58060557	0.22130482	0.15974364	0.009548241	0.0023091896	0.006008514	0.009234909
i	0.0026260808	0.0015827623	0.30376345	0.40562537	0.2515004	0.008814504	0.0045987205	0.011421806	0.010066863
o	0.00091188186	0.0013088789	0.15038686	0.5825176	0.20054987	0.02836013	0.008365605	0.013880816	0.013718276
s	0.001126561	0.007146698	0.00844254	0.23999085	0.27954078	0.41967982	0.0028049985	0.017780846	0.023486905
p	0.0008721343	0.0011003729	0.009942961	0.09538759	0.20828626	0.041223392	0.00085174607	0.04821825	0.5941173
ì	0.011144243	0.0012756744	0.015745321	0.18366	0.3233956	0.013192457	0.04253045	0.24445778	0.16459848
t	0.0033700874	0.00096729177	0.011838776	0.10419177	0.79985136	0.026807904	0.011415955	0.025676824	0.015880084
i	0.031202009	0.0073599424	0.05776078	0.26966813	0.251302	0.023352806	0.050099228	0.13540317	0.17385183
o	0.0069320137	0.0030159878	0.008688477	0.10043775	0.6002764	0.23477224	0.02256068	0.015771402	0.007545009
à	0.000702493	0.0062915212	0.0056803827	0.038711272	0.18950443	0.6437687	0.012601182	0.06463633	0.038103804
n	0.0001989479	0.001094773	0.002351392	0.011986423	0.2243372	0.43398002	0.04100195	0.2519596	0.03308977
t	0.0013234174	0.0023055885	0.0006941625	0.0085442625	0.06433561	0.17009604	0.021998515	0.2208071	0.5098953
r	0.0008730464	0.0008112767	0.0047513205	0.01759088	0.1980394	0.13710125	0.05958539	0.3150569	0.26619053
e	0.0010906882	0.00094659656	0.0068869484	0.018784191	0.12643352	0.075884245	0.04433627	0.27070796	0.4549296
p	0.006751427	0.004722029	0.0090502575	0.02280274	0.05012163	0.034951948	0.06847046	0.67562133	0.12750816
o	0.0128152305	0.020234132	0.003259674	0.01993284	0.056574676	0.17478023	0.023845227	0.24524443	0.44331357
d	0.012502862	0.0059188236	0.015708866	0.033053942	0.08280064	0.029514806	0.11257858	0.61000025	0.09792112
è	0.007513112	0.008300276	0.0024397809	0.0070998594	0.015994227	0.051718947	0.03742	0.47283942	0.39667436
g	8.3980885e-06	1.8425657e-05	0.000371939	0.00035327836	0.0030672124	0.0007256811	0.08452245	0.85585064	0.055081904
g	0.005392127	0.0019702404	0.0029089232	0.002930212	0.003753185	0.004380308	0.03361548	0.62998587	0.3150637
h	0.008845474	0.0006233425	0.00065950514	0.0005929241	0.003759943	0.0009876721	0.14654413	0.73966706	0.09831989
e	0.036457248	0.00992039	0.0035456915	0.00666068	0.006357017	0.006406613	0.13962463	0.62773263	0.16329518
</S>	0.024536708	0.0073387856	0.007193011	0.010115371	0.017534558	0.0023245348	0.03689538	0.74725443	0.14680721
