 	non	mangiare	la	sera	</S>
m	0.8817653	0.0048951604	0.0003675827	0.0016881846	0.11128382
i	0.018703105	0.075077906	0.2832765	0.01737449	0.605568
f	0.3933623	0.56988335	0.014106477	0.00063738413	0.022010446
a	0.00073841604	0.6452602	0.29820642	0.015311579	0.040483274
i	0.014893034	0.38844034	0.49677733	0.04318184	0.05670749
o	0.0011262071	0.02502637	0.8449317	0.083661646	0.04525404
v	0.00092784315	0.0046608546	0.29116875	0.64231956	0.060923014
r	0.00101201	0.0053780545	0.24327153	0.60062206	0.14971639
à	0.0073183053	0.048093837	0.71776944	0.21748039	0.009338089
i	0.00023993348	0.0078069847	0.13181292	0.8371248	0.023015419
</S>	0.00044510525	0.00393829	0.09773634	0.8353062	0.062574044
