 	noo	abbiamo	deciso	che	oggi	avevamo	andare	alla	spiaggia	con	mio	fratello	però	lui	sapeva	che	faceva	freddo	e	non	è	venuto	ma	ma	lì	che	il	mare	non	mi	piace	quando	fa	freddo	</S>
e	0.9461587	0.03956697	0.0006847306	0.00032190705	0.000117284544	0.00015105274	0.0001036705	7.972456e-05	6.695718e-05	4.8906397e-05	7.746086e-05	5.672013e-05	7.9532125e-05	0.000100671576	2.9957844e-05	0.0003871304	0.00013792665	0.0001384571	0.00038754745	5.050984e-05	6.6466404e-05	0.000573416	6.019538e-05	6.1991916e-05	0.00080025144	0.000352616	0.00015388105	0.00065265055	0.00023013513	6.0490594e-05	0.0026391768	0.00064689596	0.00087534747	0.001181345	0.002899184
m	0.74956214	0.21970163	0.0040046284	0.0075323177	8.928663e-05	0.00010527763	0.001158756	0.00018948184	0.00021920326	0.00011015001	0.00024097416	0.00013983565	0.00013713032	9.348658e-05	0.00021209184	0.00032455358	0.0004056976	7.640791e-05	8.311396e-05	0.00010215756	0.000106627864	0.0005095163	0.00017992483	0.00023591383	0.00012381724	0.00040333087	0.00018689125	0.00021778778	5.3122818e-05	0.00010669469	0.00013784216	2.5709202e-05	5.0260096e-05	4.634414e-05	0.013127771
ì	0.023051374	0.13654687	0.17514256	0.016543536	0.0068686926	0.00530445	0.06749652	0.007683955	0.022194138	0.0062295324	0.054246232	0.015534472	0.008898545	0.005411331	0.015185559	0.07717653	0.010753315	0.0048056403	0.0057374807	0.00387284	0.0100187	0.03801486	0.01593978	0.011322108	0.0038772342	0.0068333065	0.006736097	0.004450781	0.000993419	0.0035156668	0.010903214	0.0034506018	0.0018828511	0.003697478	0.20968038
d	0.05088089	0.94646794	0.0020729438	0.00017701057	0.00012311232	3.618833e-05	2.148855e-05	1.4845543e-05	2.7148908e-06	3.881569e-06	3.078831e-06	2.555251e-06	3.4692835e-06	5.59125e-06	2.5368026e-06	4.285129e-06	4.859588e-06	5.227348e-06	7.943223e-06	1.9711997e-06	1.8096889e-06	6.3489992e-06	2.7763954e-06	2.9850216e-06	2.2838594e-06	6.232674e-06	1.7507618e-06	2.8181091e-06	1.2409316e-06	1.0693857e-06	2.2819916e-06	5.5679726e-07	6.581167e-07	4.568623e-06	0.00012012494
e	0.59175897	0.12944044	0.010232052	0.008386882	0.000648969	0.0009586632	0.016488936	0.0013943946	0.00595876	0.0012157093	0.014781532	0.0030801164	0.0025641606	0.0011585398	0.0032372877	0.044772744	0.0057741837	0.0012948861	0.001604724	0.0008046528	0.0020421448	0.014799192	0.0048700953	0.0032330456	0.0042977743	0.0051942654	0.004588183	0.005445937	0.00035403794	0.00058924366	0.005975235	0.0023214356	0.0013770037	0.0037294659	0.095626295
c	0.038021658	0.77073663	0.13231589	0.032029442	0.015351838	0.0026405407	0.003835402	0.00059297454	0.00037387363	0.00017789271	0.00044602406	0.0001937016	0.00028967496	0.00012956961	9.427065e-05	0.0006019878	0.00034562775	5.8317455e-05	0.00012719943	5.826853e-05	7.3251955e-05	0.00023717388	0.00038749652	0.0003764719	3.8984075e-05	0.00019727692	9.746135e-05	3.261416e-05	1.2712429e-05	2.5387631e-05	1.0908905e-05	1.8643316e-06	1.2246096e-06	1.2704521e-06	8.518788e-05
i	0.0811539	0.37060952	0.04648225	0.010289938	0.0032671914	0.0042782538	0.058724396	0.0054014926	0.022414202	0.005532307	0.048875693	0.01069462	0.00760849	0.00392768	0.013483407	0.095249236	0.013213859	0.0032375269	0.0039307866	0.004491523	0.007635232	0.02775913	0.024490258	0.017449116	0.0029483978	0.009810818	0.009438149	0.0045701535	0.0012525852	0.004512522	0.00915446	0.00240821	0.0011062357	0.00062362215	0.06397479
d	0.01296806	0.7031934	0.2483253	0.014752605	0.006223202	0.0014310866	0.004254326	0.000979551	0.00056130736	0.00032654923	0.00062146527	0.00037068268	0.000554052	0.00028917886	0.0002929598	0.00063818455	0.000756721	0.00014906777	0.0003214252	0.00017063456	0.00018070586	0.00053306756	0.00052809005	0.00058965036	6.292597e-05	0.00026121296	0.000109117624	7.13231e-05	5.837984e-05	9.855934e-05	4.970724e-05	1.0862771e-05	8.881388e-06	1.0261054e-05	0.00024745348
è	0.024860315	0.1909355	0.1421689	0.014506274	0.007824645	0.008184079	0.07730665	0.007843906	0.0251011	0.006998665	0.057287153	0.013338023	0.009243103	0.0057940963	0.017374739	0.095976084	0.014022563	0.005637902	0.0052350936	0.0043096887	0.008807694	0.027893314	0.020160222	0.014258036	0.003647178	0.007404997	0.0068613947	0.0045900205	0.0011923373	0.003193673	0.012833487	0.0042434037	0.0014878853	0.002983595	0.14649434
t	0.004914015	0.36577758	0.5407926	0.0466683	0.023985008	0.009324984	0.0016662469	0.0008795737	0.00033491422	0.00045305165	0.00018980526	0.00017994521	0.00025586924	0.0003797883	0.00034135734	0.00015563666	0.00033444693	0.00030904793	0.0003184036	0.00022181787	0.00016515536	0.00022742272	9.601509e-05	0.0001117284	0.00011969526	0.00017360637	8.339088e-05	0.00017936269	0.00011251559	9.1178576e-05	0.00014359487	7.847936e-05	9.412656e-05	0.000317596	0.00052375457
