 	ha	che	sono	usciti	</S>
è	0.9903323	0.0004926121	0.00043545768	0.0016526178	0.0070869904
n	0.88085836	0.07568253	0.030582165	0.0027561404	0.010120808
a	0.56375843	0.3898489	0.028171932	0.0062477696	0.011972959
g	0.85082823	0.14669538	0.0010150283	2.5893763e-05	0.0014354603
u	0.012601797	0.18388996	0.23981987	0.46308562	0.100602746
ì	0.6269702	0.088026516	0.19796064	0.0028573195	0.08418539
k	0.05475072	0.08762738	0.8104027	0.013897317	0.033322006
a	0.00083107856	0.016662614	0.6966105	0.2452311	0.040664658
n	0.018161135	0.0010481332	0.028293883	0.122691855	0.82980496
e	0.019685743	0.011629065	0.11448095	0.2971597	0.55704457
</S>	0.06886802	0.0018165634	0.022725318	0.31586748	0.59072256
