 	Marika	tu	hai	mangiato	</S>
a8	0.43324503	0.5655968	0.00013843206	0.00058331375	0.0004364152
a31	0.3644383	0.09501686	0.011094628	0.45880866	0.070641614
a24	0.27717417	0.20290828	0.0027674031	0.5168908	0.00025926842
a31	0.051808827	0.9472595	1.840224e-05	0.000913256	7.4955e-08
a28	0.52885675	0.4154785	0.0018049722	0.053842697	1.7043323e-05
a31	0.13228117	0.6664138	0.0010121396	0.20010167	0.0001912822
a3	0.03454819	0.96418357	4.75917e-06	0.0011834109	8.012901e-05
a18	0.3525248	0.36722317	0.010636772	0.2584919	0.011123281
a31	0.18725115	0.20895867	0.036763627	0.46247718	0.10454932
a23	0.01650165	0.97392535	1.6815717e-05	0.009507921	4.8186135e-05
a31	0.13174447	0.08514733	0.36504397	0.37653637	0.041527838
a20	0.5299456	0.45194435	0.0012812887	0.012634022	0.004194698
</S>	0.2982317	0.025030285	0.6071026	0.063726634	0.0059087854
