 	non	deve	magniare	la	sera	</S>
a20	0.83839995	1.0828539e-06	1.282203e-06	0.14555456	0.00863964	0.007403469
a31	0.025424065	2.2357133e-07	1.0066291e-06	0.17442255	0.79672104	0.0034311407
a18	0.21169989	2.5368394e-07	3.0535146e-05	0.7874792	0.0007883902	1.8026193e-06
a37	0.94894516	2.836925e-08	2.0508386e-07	0.016115198	0.034935188	4.2388215e-06
a18	0.99694675	2.2750679e-07	9.4805887e-07	0.00011176341	0.0029376682	2.7572528e-06
a31	0.1446873	0.00042635883	0.00034979227	0.019825798	0.8311632	0.0035475239
a13	0.79424495	2.2946504e-07	1.1103546e-06	0.20315255	0.0025377132	6.341265e-05
a31	0.011257504	0.025954379	0.02321681	0.024501134	0.8651842	0.04988602
a17	0.16909185	1.6674243e-05	7.9854e-05	0.28814137	0.5386004	0.004069809
</S>	0.015796375	0.10428569	0.080017775	0.017833559	0.7684615	0.013605122
