 	non	sapeva	dove	a	stare	</S>
a20	0.041300073	0.004465311	0.9012128	0.028123407	0.023371078	0.0015273568
a31	0.00048677728	2.0372694e-05	0.9892797	0.0052051665	0.003933366	0.0010746729
a37	0.13859837	0.00041751284	0.831998	0.028453976	0.0003387041	0.00019337355
a38	0.0055237263	2.2059005e-06	0.99443203	3.4157983e-05	7.898473e-06	3.406762e-08
a31	0.05116345	3.236006e-05	0.87298054	0.012512712	0.06207272	0.0012380846
a41	0.03986031	1.1251589e-05	0.9480162	0.008521977	0.0031818436	0.00040844886
a10	0.1976687	0.019166661	0.07046319	0.10224746	0.43213612	0.17831783
a20	0.6905151	0.007862624	0.06402864	0.033479214	0.18853077	0.015583644
a9	0.035337195	0.003555813	0.011107272	0.010552681	0.91996187	0.019485118
</S>	0.054754555	0.016720034	0.002033115	0.042647015	0.7994414	0.084403835
