 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
a31	0.00022584749	0.058022726	0.0021024668	0.107388265	0.40009087	0.16254884	6.126695e-09	0.0012766641	0.26658088	0.0017634261
a20	2.7377746e-07	0.0026583727	0.00095032534	0.90566003	0.0036361404	0.0815309	1.4945752e-10	2.9288176e-05	0.005521309	1.345617e-05
a31	5.3931464e-05	0.009543081	0.0121572325	0.96764976	0.00025159313	0.0087830005	1.0561265e-09	1.6289822e-06	0.0015571476	2.6811056e-06
a29	1.8785733e-05	0.0011969769	0.0045050974	0.2878033	0.005561607	0.69120365	5.2715322e-06	0.0069843284	0.0026863248	3.4638397e-05
a15	6.9444024e-05	0.012550644	0.018866658	0.95442855	0.00019529476	0.01330845	6.9044465e-10	4.1152716e-06	0.0005728111	4.092798e-06
a31	4.185947e-06	0.0021543251	0.0015154404	0.9881782	0.002367738	0.005461502	1.3663808e-09	1.14891955e-05	0.0003050588	1.9932925e-06
a18	2.1246257e-07	0.00084021327	0.0002263082	0.7852684	0.14858143	0.058596004	2.6718374e-09	0.00020844789	0.006271988	6.913146e-06
a46	0.00039740684	0.0049169725	0.013609402	0.7511612	0.14251378	0.086473644	9.1379206e-07	0.0008836984	3.5270266e-05	7.636989e-06
a31	0.010328274	0.0252469	0.045646932	0.723895	0.045720395	0.12935041	0.007554486	0.011566193	0.0005836377	0.00010772227
a37	3.2458665e-05	0.023234406	0.0038037486	0.4895489	0.0153702125	0.4629647	1.0308197e-07	0.00015092488	0.0047725285	0.00012201888
a31	0.0009311348	0.052231513	0.07100507	0.6849187	0.030049242	0.1603913	4.1693133e-06	0.0004187568	3.28293e-05	1.720312e-05
a41	6.739182e-05	0.04804464	0.009845558	0.5926727	0.043403026	0.3007927	6.259348e-08	0.0001972582	0.0047044787	0.00027216104
a31	0.0060519213	0.11221192	0.13223591	0.49965346	0.017460903	0.2310711	0.00012440055	0.0010439933	4.118681e-05	0.00010522757
a3	0.00029474916	0.15929861	0.02777529	0.46894547	0.026131779	0.31477958	2.6690185e-07	9.1863665e-05	0.00234971	0.00033258682
a31	0.0067302953	0.22885023	0.21270204	0.31844327	0.014484418	0.21831137	3.0521493e-05	0.00032949419	2.3331491e-05	9.505771e-05
a23	0.000867305	0.567167	0.08853385	0.21797454	0.009033669	0.11482662	1.1525569e-06	2.9378753e-05	0.0012465398	0.00031995372
a29	0.2014564	0.20345303	0.17226735	0.116726555	0.046291165	0.15758236	0.057054654	0.016407892	0.0072316676	0.02152889
a46	0.006453091	0.8471955	0.12766925	0.0061442256	0.005629541	0.004932603	4.5669103e-06	4.6552464e-05	0.0008814653	0.0010431798
a23	0.21808214	0.105100684	0.09100268	0.028949551	0.03394032	0.11594808	0.34272808	0.022433124	0.006229746	0.03558564
</S>	0.031590704	0.3297868	0.117045246	0.024756547	0.3805388	0.016868537	0.008678656	0.0047950577	0.01370429	0.072235376
