 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
a31	1.2801689e-06	0.054373275	0.030015899	0.17614937	0.32348558	0.35766414	0.025947517	0.03166185	0.0007010758
a24	1.3056486e-12	2.2569757e-05	0.047502078	0.8819227	0.0005391059	0.069080785	0.00027305956	0.0006596501	9.9824845e-08
a18	1.8558025e-07	1.5210122e-05	0.22447369	0.47481462	0.0006518215	0.2996916	8.5239764e-05	0.00026722092	2.853729e-07
a31	8.529368e-08	1.7991644e-05	0.2705602	0.2425663	0.0034194542	0.47846678	0.0017137798	0.0032383497	1.7132159e-05
a37	1.4968623e-12	7.1211207e-07	0.019349668	0.82635456	0.0069340584	0.14504068	0.0020377408	0.00028245169	5.1690858e-08
a21	3.819521e-07	2.3776161e-05	0.8308913	0.06504247	0.019596701	0.06786276	0.014188896	0.0023698146	2.3838988e-05
a31	6.295551e-07	0.00011003735	0.5920393	0.16228376	0.011864732	0.23185532	0.0014222207	0.00041148806	1.2578439e-05
a37	2.2634462e-11	2.0848079e-06	0.06415341	0.2539963	0.012279152	0.6648271	0.0036629566	0.0010782232	7.8363036e-07
a19	0.0024472661	0.0028510387	0.63510805	0.03851954	0.2331957	0.0057396186	0.07663116	0.0054093096	9.836022e-05
a37	0.000111568916	0.0005711432	0.838572	0.036222	0.09356905	0.018357435	0.011525368	0.0010435535	2.7879198e-05
a31	0.0018107411	0.08164713	0.577318	0.18303591	0.099719316	0.022128645	0.020917209	0.012712657	0.00071042444
a39	3.184817e-08	0.0010284678	0.06348075	0.22405331	0.12423379	0.5363679	0.013510545	0.0370892	0.00023598103
a35	0.020980984	0.09163714	0.31235158	0.11624954	0.34088293	0.006878835	0.0813263	0.02774455	0.0019482119
a20	0.029491344	0.50512505	0.20734033	0.083819225	0.054742582	0.004483875	0.026483007	0.07834667	0.010167879
a31	0.030450486	0.5517323	0.079579465	0.02835441	0.048219327	0.004659314	0.024225306	0.19479159	0.037987784
a33	1.29427735e-05	0.13467349	0.012024491	0.046912674	0.6955523	0.039321404	0.029932387	0.038509566	0.003060764
a23	0.3139711	0.11494801	0.038476743	0.028834147	0.12262629	0.0054981126	0.11981305	0.21494746	0.040885087
a31	0.020204732	0.6598956	0.054295175	0.012669794	0.043532345	0.0044841086	0.008093306	0.11622435	0.08060062
a37	0.0001530549	0.13800453	0.000926022	0.007253601	0.78772855	0.0057105054	0.032333586	0.02292681	0.0049633323
a31	0.16242056	0.59759337	0.041060828	0.006052378	0.11445703	0.00048387866	0.04520189	0.027740765	0.0049893516
a3	0.00028913526	0.28970015	0.06252563	0.09636608	0.2482089	0.076361135	0.03271828	0.13299586	0.060834836
a11	0.49443075	0.25020674	0.016343292	0.0026203555	0.12605675	0.000458238	0.040570624	0.05442007	0.014893163
a31	0.1599691	0.71459246	0.010163968	0.0068728006	0.025257714	0.0021692647	0.0043928595	0.015774854	0.060807023
a37	0.0006098935	0.17883173	0.036656734	0.075230055	0.09242095	0.07559882	0.041551705	0.24940974	0.24969041
a11	0.8208255	0.03958565	0.0011052104	0.00013319374	0.024280222	6.172666e-05	0.020650415	0.022923557	0.070434466
a39	0.52158225	0.3571263	0.006408132	0.004052096	0.012305626	0.001440906	0.0042201607	0.015145635	0.07771897
a20	0.77860963	0.1972524	0.00091049384	0.0001378116	0.009265253	6.671087e-06	0.0044791084	0.0015302254	0.0078084045
a44	0.1330552	0.7104833	0.0057504317	0.00040797188	0.039771955	6.710631e-05	0.009708941	0.01896327	0.08179188
a31	0.04386943	0.69253683	0.02273436	0.0017100595	0.03880083	0.0010227659	0.007132744	0.06346574	0.1287272
</S>	0.052603938	0.11743563	0.011029172	0.04578384	0.08072122	0.095049985	0.013771955	0.17770931	0.4058949
