 	venne	scritto	</S>
a31	0.9699618	0.029844915	0.00019329308
a28	0.48497373	0.5147998	0.00022642646
a8	0.832166	0.16782503	8.944204e-06
a31	0.30886897	0.5948456	0.09628546
a20	0.9560067	0.043824643	0.00016872307
a31	0.08123972	0.7591527	0.15960751
a13	0.7201962	0.27913162	0.00067220535
a29	0.019215623	0.49893096	0.48185351
a39	0.117853396	0.8125885	0.06955809
a31	0.014309923	0.21950112	0.766189
a35	0.036056224	0.84218514	0.12175864
a31	0.021215446	0.6063218	0.37246275
</S>	0.019185053	0.5688549	0.41195998
