 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.9982981	9.446081e-07	1.3173172e-06	4.5566705e-07	8.8673085e-07	9.770426e-05	0.0016006461
a46	0.99453884	1.5601707e-08	1.1350781e-07	1.2114494e-07	2.3932694e-06	0.005450117	8.403229e-06
a31	0.04002331	6.214365e-05	0.00028127356	0.00021134251	0.00096587616	0.9551735	0.0032824713
a17	0.9998838	1.06087665e-11	7.072009e-11	8.072853e-11	2.2971522e-09	5.1808962e-05	6.4392305e-05
a37	0.9668957	5.0121544e-06	2.497574e-05	1.7562406e-05	1.796701e-05	0.033029847	8.98818e-06
a31	0.17498548	0.0009790459	0.0030897448	0.002324287	0.0047453814	0.81379485	8.11592e-05
a39	0.99916697	5.6646227e-10	5.194337e-09	2.7160516e-09	1.5036822e-08	0.00082704664	5.930165e-06
a31	0.057270393	0.013550764	0.026263129	0.022674177	0.03803813	0.841431	0.0007723765
a37	0.8804349	3.0337853e-07	3.7066588e-06	1.7892532e-06	5.6503523e-06	0.11924138	0.00031238646
a31	0.0688501	0.01887361	0.033636782	0.028276559	0.040886234	0.80818874	0.0012879414
a46	0.06427787	3.3190101e-06	4.1814597e-05	1.69371e-05	6.2655534e-05	0.9344003	0.001197134
a31	0.0061774123	0.051759697	0.043491017	0.042164616	0.1278088	0.7260627	0.0025356486
a46	0.004686646	9.486102e-06	7.714872e-05	3.751844e-05	0.00041304817	0.99275416	0.0020219376
</S>	0.003817146	0.15455472	0.14069453	0.13560332	0.30010653	0.26076248	0.0044612954
