 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a20	0.002090279	0.9802596	0.014698174	0.0027517593	0.00011051656	7.019723e-05	6.1955805e-09	3.9963033e-06	2.2648385e-06	3.8791998e-07	1.2775712e-05
a31	0.0015424782	0.28719026	0.55741316	0.006768386	0.13284345	0.014153331	6.6913465e-08	3.971233e-05	5.904236e-08	4.6593555e-05	2.513511e-06
a46	0.0007230549	0.006174595	0.89149624	0.058203913	0.009988588	0.0012737702	4.1112493e-05	0.032084744	1.4124828e-06	2.246257e-07	1.2264931e-05
a20	0.000722722	0.00034163689	0.09525049	0.018562768	0.68857795	0.19616975	4.5432143e-06	0.0001894533	2.1021417e-07	0.00017658334	3.9075303e-06
a31	0.00282015	0.14041542	0.6341917	0.053921904	0.1389773	0.029351305	8.487166e-07	4.261145e-05	4.4199982e-08	0.00027860052	1.9500813e-07
a29	0.0002507528	0.19068404	0.430405	0.36683854	0.009150393	0.0026437547	8.343115e-09	2.6614984e-05	2.274808e-08	2.5750404e-09	9.3315396e-07
a31	0.0013355591	0.024761021	0.19494136	0.14075409	0.5499628	0.087918065	1.997838e-06	0.00026606192	5.587555e-09	5.892063e-05	1.5754335e-07
a37	0.00012640265	0.7775406	0.12785855	0.090650305	0.0022414865	0.0014479157	2.8393484e-07	0.0001318749	1.5486584e-08	1.4873333e-06	9.917144e-07
a31	0.0012877319	0.0031655072	0.080411926	0.03317719	0.73405516	0.13867377	0.0004338306	0.0074990746	1.085485e-06	0.0012691369	2.5576499e-05
a41	0.0009216857	0.56082034	0.23886883	0.12316188	0.041252386	0.030330608	2.0784159e-05	0.0043554483	1.7275805e-07	0.00024582644	2.1967317e-05
a8	0.0011015545	0.0027785718	0.058329374	0.009226008	0.82690215	0.08873258	0.0014797922	0.008838253	3.924789e-06	0.002528992	7.881052e-05
a31	0.012732953	0.04206652	0.1326676	0.010675582	0.20159978	0.060926314	0.06300257	0.045727447	0.01544121	0.39225408	0.022905882
a20	0.0052521746	0.5454927	0.15832424	0.008095019	0.23626122	0.0416012	4.599979e-05	0.001425003	1.6976398e-07	0.003463532	3.8717575e-05
a0	0.0038894515	0.013314924	0.17209725	0.007944533	0.70317566	0.08105254	0.0028787518	0.011486994	1.2189586e-05	0.003981412	0.00016619904
a29	0.019116353	0.13536502	0.2177804	0.005318686	0.4122188	0.04686876	0.04209422	0.01978394	0.0007542965	0.098493874	0.0022056003
a31	0.009024684	0.110096805	0.25953746	0.007973634	0.52113646	0.0718536	0.0028495444	0.0070372275	8.322587e-06	0.0102714095	0.00021088662
a24	0.0021671264	0.30474505	0.13533211	0.024733292	0.400364	0.11406499	0.00020022466	0.004353948	4.6207183e-06	0.0138227185	0.00021184182
a17	0.0016547235	0.0034662057	0.07769136	0.0039920807	0.8208039	0.07351938	0.0048809783	0.0070576016	5.6209883e-06	0.006854669	7.342595e-05
a8	0.03372975	0.081096634	0.1427145	0.0029573075	0.29658344	0.0343398	0.10712946	0.020802114	0.0021373616	0.2745708	0.0039388705
a31	0.025103198	0.18774459	0.039404858	0.010169943	0.049587864	0.012335139	0.09487694	0.023658467	0.008811303	0.5064734	0.041834295
a18	0.10884591	0.4747144	0.05887805	0.0028637787	0.20301959	0.027436964	0.007894793	0.020907057	0.00024792508	0.08852544	0.006666087
a38	0.11257215	0.015937831	0.0442094	0.004564826	0.27353054	0.04701946	0.22234796	0.049699273	0.0033558786	0.22104189	0.0057208263
a31	0.047145974	0.19752172	0.041263755	0.006018054	0.06740178	0.0107973255	0.13608167	0.01781404	0.007997065	0.42587578	0.042082775
a8	0.08377638	0.14421608	0.05287808	0.0029515037	0.3269498	0.056444056	0.008492274	0.010829191	0.0001615856	0.30426988	0.009031153
</S>	0.111782715	0.096485294	0.09866172	0.0039605373	0.07574658	0.008320053	0.16069968	0.014799092	0.002573495	0.39179358	0.03517721
