 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.037357006	0.90287596	0.019725885	0.01546616	0.020764502	0.0025233477	0.0012871079
a31	0.005600493	0.05784992	0.000804557	0.023232989	0.026731292	0.8849078	0.0008729012
a6	0.031555653	0.11120605	0.015632506	0.44419894	0.0525325	0.34396008	0.0009142283
a31	0.009229592	0.068735056	0.023471719	0.8030097	0.0027187509	0.09281888	1.6234728e-05
a37	0.0046421606	0.048567772	0.08064563	0.8326227	0.025644396	0.007815983	6.141974e-05
a31	0.04722987	0.040207114	0.023984183	0.79232746	0.0038180258	0.092424475	8.825569e-06
a17	0.019697145	0.12846556	0.01176265	0.4164481	0.4128073	0.0107458	7.3512245e-05
a31	0.0128479265	0.014852271	0.0036667674	0.25056377	0.446842	0.27113822	8.906859e-05
a17	0.02060116	0.09835472	0.012427755	0.46281445	0.19371913	0.21139939	0.0006833782
a31	0.013569084	0.025053596	0.0084551545	0.13833258	0.11735741	0.69523454	0.0019977042
a8	0.014261888	0.076397344	0.00894469	0.37920263	0.062494013	0.45715582	0.001543552
a31	0.011410138	0.12263699	0.014782886	0.019447697	0.009343178	0.808059	0.014320175
a28	0.053823862	0.8343884	0.01793305	0.010170433	0.000761268	0.08142442	0.0014985775
a0	0.066261776	0.7200856	0.041226905	0.021156209	0.0044624805	0.14442647	0.0023806228
a41	0.045270845	0.67347974	0.07338596	0.009120353	0.001940865	0.18231128	0.014490862
a39	0.052975975	0.4909373	0.070207484	0.010775419	0.0041548447	0.23623858	0.13471042
a31	0.13100754	0.37991956	0.10537811	0.013217422	0.004461508	0.24245581	0.12356013
a39	0.091458425	0.8713735	0.015471999	0.0006042125	7.765648e-05	0.018283766	0.0027304117
a31	0.1321162	0.3999917	0.12277242	0.00889129	0.0040498115	0.28978488	0.042393804
a18	0.16410786	0.8160454	0.011570298	0.00022773733	2.5860058e-05	0.0063868687	0.001635946
a31	0.07208268	0.37730545	0.11811118	0.005286758	0.0039732275	0.32746857	0.09577219
a18	0.22791888	0.7503392	0.012884088	0.00022634932	2.7950076e-05	0.0065837624	0.002019706
a31	0.04814521	0.36380717	0.0907741	0.0035975524	0.004096761	0.3576232	0.13195604
a39	0.28874063	0.6870592	0.014309073	0.0002755007	3.474539e-05	0.0074040447	0.0021767924
a41	0.037713382	0.39672548	0.053863764	0.002207015	0.0036506485	0.38417768	0.12166195
a8	0.056008995	0.6282337	0.11969544	0.001439245	0.0009254916	0.08527601	0.108421065
a31	0.042303085	0.4356911	0.120557345	0.0062422156	0.0025669714	0.09907217	0.29356715
a46	0.34392646	0.42055967	0.123204455	0.0017522324	0.00061555917	0.07814274	0.03179893
a8	0.0881601	0.4013629	0.21765184	0.008485609	0.0028177707	0.1665278	0.114994034
</S>	0.037450947	0.63610125	0.11506171	0.0039284965	0.0014790916	0.015594331	0.19038412
