 	non	so	cosa	stai	scrivendo	</S>
a31	0.0057119415	0.5230946	0.0027159238	0.008610359	0.45075038	0.009116743
a21	0.003995084	0.0046241456	0.00897372	0.11432407	0.8567325	0.011350472
a31	0.028161924	0.000326785	0.04475087	0.29766017	0.62818485	0.0009153158
a10	0.005162295	0.0010596246	0.07970567	0.83165383	0.08223517	0.00018345244
a7	0.039824083	0.0006246206	0.2316395	0.6630467	0.063587286	0.0012776793
a41	0.0002873962	7.502099e-05	0.0082028145	0.049796414	0.9402475	0.0013908823
a31	0.0001637961	5.01822e-06	0.002604926	0.010875726	0.9827266	0.0036238888
a8	4.4860803e-06	4.196882e-05	2.1525691e-05	0.000213267	0.99954623	0.0001725189
a31	0.08384497	0.040771794	0.16640967	0.49974298	0.16919734	0.04003327
a8	0.020750064	0.090213716	0.0043307925	0.0018596218	0.8719423	0.010903499
a23	0.19767469	0.1567913	0.22920051	0.3898387	0.0043978207	0.022097062
a8	0.0908065	0.49780864	0.10065094	0.14540793	0.00349547	0.1618306
a31	0.034668725	0.48357978	0.054291498	0.14138238	0.0023646187	0.2837129
a21	0.0022516383	0.51847774	0.0014394419	0.0007227829	0.47506872	0.0020396742
a31	0.1998029	0.112039715	0.29723677	0.37105447	0.0030622606	0.016803905
a24	0.006886009	0.51191616	0.008148655	0.0017723897	0.45985693	0.011419904
a21	0.3170891	0.10971131	0.41289818	0.13850948	0.009761001	0.012030825
a31	0.13164254	0.55310816	0.13864744	0.038927402	0.0008096323	0.13686487
a17	0.0662438	0.62080383	0.060008682	0.003195435	0.1699383	0.07980998
a20	0.6395853	0.049282722	0.26222333	0.013383353	0.0004144048	0.03511089
a0	0.16869512	0.62292755	0.06855973	0.0029986787	0.0009072851	0.13591169
a31	0.19070496	0.3951194	0.0674292	0.0029896041	0.00066038885	0.3430964
a8	0.33200106	0.03866328	0.034652233	0.0013685848	0.41120774	0.18210712
a37	0.49615002	0.25411275	0.12236078	0.022167975	0.00011525605	0.10509317
</S>	0.5948969	0.09657455	0.096806295	0.0014830596	0.017288443	0.19295074
