 	deve	che	entra	da	qui	</S>
a31	7.1595223e-06	0.063238256	0.00064009876	0.0051307823	0.91260326	0.018380474
a21	4.1953488e-10	0.05173192	0.00013550305	0.0012584735	0.94620746	0.00066659483
a31	1.6607202e-06	0.49018735	0.5003264	7.563482e-07	0.009469545	1.4281346e-05
a20	1.6385019e-07	0.9569771	0.0055054133	0.0010227419	0.036304	0.0001905786
a11	5.034999e-06	0.6797328	0.268686	1.7604034e-05	0.05138972	0.00016887073
a31	3.6640195e-05	0.10292098	0.69948626	9.628599e-05	0.19696198	0.0004978134
a37	3.0904388e-07	0.084397756	0.052283864	0.0007198943	0.860892	0.0017061468
a31	0.0061411266	0.14533365	0.64833516	0.0043509025	0.18714215	0.008697113
a8	4.3759132e-06	0.06272257	0.21983862	0.00032203528	0.7137906	0.0033217778
a31	0.061638236	0.014966527	0.25546277	0.22420931	0.38195375	0.061769385
a46	8.712119e-05	0.05738788	0.769147	0.00032446036	0.1687792	0.004274263
a31	0.21310812	0.09270484	0.30244425	0.10949771	0.23373151	0.048513517
</S>	0.0015896664	0.045204513	0.92140174	0.0010592174	0.026214812	0.0045300783
