 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.0012597519	0.996409	0.0013255533	0.00076088414	0.00016775359	1.6166958e-08	2.9158628e-05	1.5084418e-06	4.6425204e-05
a13	0.018457036	0.5847718	0.083287485	0.28099495	0.030908694	3.9667584e-06	2.0452811e-05	0.00019430419	0.0013613619
a0	0.0042799795	0.46520612	0.5291487	0.0013397922	2.3811279e-05	3.6833633e-10	1.937814e-07	1.2652607e-06	9.997182e-08
a31	0.0030139051	0.0136967935	0.9789959	0.0029684016	0.0013226236	9.464621e-09	3.8854284e-09	2.2621994e-06	4.495176e-08
a18	0.00083820976	0.01765872	0.92286086	0.054713793	0.003927097	8.4512786e-10	1.9908057e-07	1.2325097e-08	1.0313081e-06
a31	0.0065226317	0.010200724	0.8686386	0.025766565	0.08828408	7.463286e-05	2.69305e-07	0.0005103736	2.2077375e-06
a28	0.00022023576	0.7360292	0.24285102	0.015604642	0.0052936766	2.4639686e-09	1.2545692e-07	3.153474e-08	1.0699798e-06
a20	0.0027178747	0.003088575	0.9028055	0.0224371	0.06888704	1.1826677e-05	9.930385e-09	5.1710533e-05	2.7214705e-07
a31	0.023109796	0.0069812094	0.66114986	0.12014465	0.14074156	0.007355559	0.00024774694	0.03974778	0.0005218499
a7	0.00042759872	0.77232146	0.21502511	0.00541516	0.0062258486	6.6026982e-06	1.1230791e-06	0.0005575559	1.9515035e-05
a38	0.0060952133	0.008816028	0.7998418	0.1035042	0.08069032	0.0004597029	4.6924783e-06	0.0005567506	3.1389623e-05
a24	0.038807973	0.09275921	0.4075775	0.13315675	0.07576886	0.04588122	0.012140088	0.18053302	0.013375293
a46	0.004483339	0.09667315	0.83520114	0.022618726	0.028501563	0.0012004853	1.4215739e-05	0.01124097	6.643187e-05
a31	0.049835343	0.016686954	0.0332871	0.05815447	0.03363881	0.13826975	0.10196793	0.4564127	0.11174692
a38	0.0021505316	0.90550613	0.07946255	0.0075215744	0.003349055	5.9453836e-05	4.759644e-06	0.0019215541	2.4368203e-05
a31	0.20686913	0.0826359	0.42504856	0.17365767	0.06931375	0.021124704	0.0025377478	0.015913587	0.0028989012
a13	0.0037990874	0.8626315	0.12049596	0.0063666473	0.0024856047	0.00015076845	5.143945e-06	0.0040215473	4.384429e-05
a31	0.17559995	0.116306074	0.5816619	0.08980206	0.024711281	0.0051477957	0.00022109196	0.006182597	0.00036731036
a8	0.007885803	0.71053296	0.25907508	0.00397666	0.0013331992	0.000693026	9.840863e-06	0.016270729	0.00022273388
a20	0.36255726	0.16916949	0.2114963	0.11868101	0.0182196	0.057417303	0.0022187096	0.046044637	0.014195669
a31	0.02292071	0.76519257	0.11430004	0.0071339365	0.0013919995	0.015761402	0.0017197467	0.034664452	0.036915112
a15	0.048575293	0.8842507	0.0187919	0.026839886	0.0027912336	0.007791371	0.0010019571	0.007897307	0.0020604127
a31	0.29621848	0.051804975	0.16993546	0.090481184	0.059255414	0.20958136	0.007385946	0.11151303	0.0038241304
a20	0.013637114	0.46217412	0.40411887	0.005959347	0.0028112228	0.004035389	8.0893136e-05	0.10572271	0.0014603577
a39	0.3744392	0.053958893	0.24073678	0.03857076	0.013403164	0.19913422	0.0023424479	0.060679056	0.016735543
a31	0.07068438	0.37766427	0.078791976	0.01452527	0.0038181043	0.11064086	0.0052685114	0.21736291	0.1212438
a8	0.049407523	0.37812898	0.14520867	0.018876053	0.008356205	0.048681162	0.000719566	0.3313824	0.01923945
a31	0.17406324	0.075985014	0.14602607	0.026861556	0.010960021	0.22789451	0.003863389	0.2640146	0.07033156
a37	0.07533115	0.4528081	0.22009878	0.0048763724	0.0015196439	0.018185077	0.0004845817	0.19451155	0.03218472
a20	0.5343637	0.03853668	0.27840883	0.022974564	0.006391239	0.075569026	0.0012095158	0.016737688	0.025808804
a8	0.110067	0.15350154	0.067519784	0.015662018	0.0053689857	0.18740608	0.005873065	0.30924812	0.14535344
a20	0.036870923	0.7696095	0.08665291	0.007670057	0.0021161565	0.03266909	0.0018779808	0.029709617	0.032823794
a31	0.098312266	0.43742976	0.08197235	0.01483686	0.0038877542	0.08354394	0.0066145733	0.077307016	0.19609539
</S>	0.15804113	0.18415377	0.032238226	0.00856381	0.003067678	0.10472592	0.0018917333	0.40763026	0.099687465
