 	lo	sentii	ee	che	arrivava	</S>
a15	0.0008381841	0.5249406	0.07036597	0.039765608	0.36393693	0.00015269963
a31	0.15727058	0.025267318	0.3692769	0.31687227	0.13131097	1.9430158e-06
a46	0.98961174	0.00010448385	0.0021124613	0.0072150533	0.000539098	0.00041697515
a8	0.013381762	0.023401309	0.037447244	0.90375894	0.021382354	0.0006284758
a31	0.00021978971	0.00016792503	0.029304156	0.967579	0.002724945	4.25507e-06
a23	0.0073896707	0.00093111384	0.17784905	0.81145734	0.002271614	0.00010124283
a8	0.07012488	0.0034308156	0.02817965	0.88469076	0.013420663	0.0001532592
a38	0.07049829	0.0007790094	0.032805674	0.8484733	0.04636092	0.0010827169
a20	0.9466022	0.00010745205	0.004557736	0.047126573	0.0013502768	0.00025565448
a28	0.7749893	0.00052021805	0.020939976	0.19406769	0.008433294	0.0010495428
a20	0.9877002	2.6839294e-05	0.0012890868	0.009797288	0.0004031219	0.00078351883
a23	0.34688416	0.013270801	0.11030319	0.35091797	0.13125624	0.047367644
a31	0.2898712	0.0018320663	0.05253232	0.28996986	0.12763229	0.23816228
a29	0.25943604	0.086692944	0.10773915	0.5317516	0.009009073	0.0053711757
a33	0.9834878	0.00026016188	0.0035376733	0.008226631	0.001825338	0.002662451
a29	0.26965144	0.003573929	0.04222433	0.3667024	0.2185582	0.0992897
a27	0.97541773	6.1024475e-05	0.0051073516	0.012964091	0.0024759395	0.0039739693
a46	0.81275725	0.001419088	0.024577215	0.048379105	0.030417897	0.08244943
a20	0.5112691	0.00056896865	0.0072217826	0.037382904	0.021562729	0.42199454
a31	0.6851774	5.6810506e-05	0.00053532823	0.0033735405	0.00093934976	0.30991763
a7	0.00045269597	0.76559514	0.07349865	0.027904902	0.13178141	0.0007672535
a1	0.9119747	0.00066675816	0.0022273026	0.0017548964	0.003547024	0.079829246
a20	0.60677314	0.00016525874	0.0009173965	0.0044653257	0.0011406377	0.3865383
a31	0.1588227	0.0007318859	0.00070683303	0.0049303505	0.0016140448	0.83319414
a20	0.00029854063	0.7743286	0.03625908	0.028355997	0.15909791	0.0016598303
a31	0.8910104	0.00030014382	0.00035431382	0.0005838737	0.00071461295	0.10703666
a23	0.024201617	0.09269112	0.16164085	0.61633295	0.09826823	0.0068652853
</S>	0.64414465	0.0007179246	0.00020890318	0.0006868258	0.00043323883	0.35380855
