 	il	lenzuolo	vuole	lavato	</S>
a31	0.005258432	0.030814312	0.0003097083	0.9612313	0.002386165
a7	0.116979636	0.0038653936	0.0003469648	0.8676504	0.011157672
a31	0.96166307	0.0001335957	0.0003965232	0.037710153	9.676971e-05
a0	0.962905	0.005488992	0.00027546636	0.031221278	0.00010921532
a17	0.27609336	0.0036982873	0.051036574	0.6493019	0.019869875
a13	0.0043862355	0.00022520823	0.0025651662	0.97830814	0.014515183
a31	0.27155328	0.009184107	0.07351086	0.5761206	0.0696311
a17	0.043904252	0.01004852	6.0393064e-05	0.93931407	0.0066728326
a8	0.6052056	0.08820872	0.2903088	0.0029524942	0.013324279
a31	0.19687416	0.03233185	0.70104384	0.025725946	0.044024143
a24	0.6376054	0.048641775	0.0032620355	0.20708443	0.10340628
a46	0.780596	0.03501871	0.18330362	0.00017922306	0.000902346
a24	0.21119143	0.09284012	0.68396795	0.0023784458	0.009622084
a37	0.65769345	0.035165597	0.2875258	0.00022416725	0.019390969
a31	0.33505952	0.15336433	0.50800556	1.8939e-05	0.0035516657
</S>	0.64694977	0.028854558	0.09381854	0.012041121	0.21833605
