 	mi	sono	vestito	</S>
a39	0.97203	0.024802776	6.1194754e-05	0.0031060788
a11	0.9527004	0.02726517	0.0024025955	0.017631818
a13	0.8637053	0.1226795	0.006312308	0.007302986
a18	0.76765543	0.1904457	0.036261197	0.005637556
a31	0.093174025	0.20196244	0.44149324	0.26337025
a37	0.97760254	0.011907751	0.00019525133	0.010294548
a15	0.19906956	0.44251508	0.23502138	0.123394
a31	0.3040178	0.2689952	0.081653476	0.34533358
a46	0.34856567	0.119251125	0.020395737	0.5117875
a31	0.016155861	0.10839569	0.65160704	0.22384143
a20	0.26065356	0.18383878	0.420855	0.13465261
a31	0.0073825684	0.15138972	0.83199173	0.009235954
</S>	0.10459607	0.0910573	0.7189962	0.085350364
