 	non	aveva	cosa	a	fare	</S>
a31	0.8093364	6.465552e-05	0.054266106	0.050749805	0.06535743	0.02022568
a18	0.9603724	6.6518e-08	0.020539615	0.001972546	0.016804598	0.0003107241
a24	0.9832448	1.6865265e-07	0.014610733	2.2856751e-05	0.0021144454	6.9872485e-06
a20	0.80773294	2.7546827e-07	0.14502132	0.005797588	0.041013118	0.00043468914
a31	0.18788908	8.764253e-07	0.08517871	0.08295403	0.6175104	0.02646698
a18	0.9685435	2.692653e-07	0.02476094	0.0036310372	0.0026442811	0.0004198792
a31	0.17312415	0.03626829	0.053638265	0.079389624	0.5443694	0.11321023
a17	0.73462486	1.5717825e-06	0.07354528	0.0023814503	0.16134256	0.028104236
a20	0.7375947	0.080851056	0.12712635	0.0067663062	0.03319798	0.014463597
a31	0.556601	0.008609642	0.124526866	0.0044440087	0.19840215	0.10741632
</S>	0.31331217	8.4773765e-06	0.031618983	0.00071467634	0.43858194	0.21576376
