 	forse	sono	usciti	</S>
a23	0.9658792	0.027489	0.005272128	0.0013597374
a31	0.06287559	0.43641797	0.24956512	0.25114134
a23	0.12759632	0.08715414	0.7828706	0.0023789266
a31	0.008308336	0.11949669	0.75916654	0.11302843
a10	0.12139451	0.077108316	0.79590636	0.0055908076
a37	0.6409129	0.121886194	0.23669583	0.00050513336
a31	0.10334043	0.08963879	0.7856044	0.021416252
a37	0.93842673	0.007502199	0.05333693	0.0007342262
a31	0.009099874	0.20876682	0.43088725	0.35124612
a39	0.3598577	0.04718877	0.58514994	0.0078036017
a31	0.015068421	0.30545792	0.4837901	0.19568357
</S>	0.01716632	0.0305248	0.93420494	0.018103926
