 	stava	ancora	cucinando	</S>
a8	0.69745946	0.3021872	1.1407035e-05	0.000341924
a46	0.81516826	0.10791441	0.00688612	0.07003115
a24	0.3798804	0.5948447	0.0054837717	0.019791178
a37	0.99588865	0.0026883595	0.0013992821	2.376572e-05
a20	0.92739564	0.063862585	0.008739478	2.2213162e-06
a31	0.06314794	0.081674635	0.8459137	0.0092637455
a37	0.96708125	0.03291667	1.3932403e-07	1.9063007e-06
a31	0.065582275	0.13977161	0.7881898	0.0064563113
a20	0.56654644	0.43238086	3.2141495e-05	0.0010406444
a31	0.042630155	0.07615569	0.6234665	0.25774765
a6	0.4731212	0.5124681	0.0005291598	0.013881491
a31	0.03712779	0.04707384	0.55263984	0.36315852
a20	0.6619161	0.12953621	0.046307474	0.16224027
a46	0.050736494	0.07362348	0.7724229	0.10321712
a31	0.029229183	0.011731901	0.19986653	0.7591724
</S>	0.054453004	0.002432413	0.8576907	0.08542392
