 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	2.7808943e-05	0.9527403	0.04072874	7.8894846e-10	2.2941776e-05	0.0024759604	0.0036936272	0.00031063097
a31	6.912251e-06	0.09946004	0.9003252	5.6911753e-11	6.837593e-08	5.4018037e-05	0.00015362602	1.9282483e-07
a37	0.0016116506	0.00084437523	0.9963786	8.4332736e-05	0.00013860984	0.0009035437	3.8569015e-05	2.6863182e-07
a31	0.0001270515	0.00032307082	0.99953544	2.6492408e-10	1.9620591e-08	1.9172244e-06	1.2522396e-05	8.6516465e-08
a20	1.1434432e-05	0.0010501485	0.99876297	3.1270384e-09	1.6842866e-06	0.00016056243	1.31044535e-05	1.8027957e-07
a31	0.017472448	0.000569859	0.9069912	1.9049477e-07	6.509797e-06	0.0416692	0.032265123	0.0010254841
a20	3.2914897e-05	0.016291827	0.97911763	1.3024642e-09	2.2388594e-08	0.004116625	0.00043636165	4.6142936e-06
a13	0.12666997	0.012980612	0.67171115	4.7423808e-05	5.2909672e-05	0.17493916	0.013301205	0.00029763608
a20	0.06423192	0.02546839	0.9000923	2.196529e-06	2.9935934e-06	0.007243312	0.0029134536	4.5452525e-05
a24	0.006672951	0.23004492	0.75672877	4.2442116e-05	0.00010990971	0.0019989675	0.0042465013	0.00015553577
a31	0.0646755	0.17861992	0.7535854	2.911982e-05	6.1584666e-05	0.00073453906	0.0021834306	0.00011051188
a0	7.0524366e-05	0.9658072	0.034027535	3.0016474e-09	7.2521026e-08	3.969567e-06	8.57109e-05	5.11695e-06
a35	0.32737684	0.4103481	0.08952366	0.09567291	0.037295744	0.03205835	0.0071366546	0.0005877199
a0	0.014699354	0.97392154	0.0073622093	0.00036860188	0.00045991477	0.00017728622	0.002097123	0.0009140166
a31	0.10337622	0.7339307	0.15797275	0.0013873582	0.000707153	0.00038908698	0.00193926	0.00029747927
a11	0.0017477733	0.8774932	0.118587166	9.526555e-08	1.8844509e-07	6.6170455e-06	0.0016716303	0.0004932777
a20	0.6736081	0.14184308	0.008806006	0.14549689	0.008028703	0.008066821	0.009758224	0.004392219
a41	0.043484975	0.9279358	0.002436853	0.005788605	0.0040006125	0.00033592238	0.0064741997	0.009543
a10	0.3111882	0.6478321	0.015789429	0.014897721	0.004224603	0.00059623196	0.0044770674	0.0009946733
</S>	0.3553598	0.620163	0.0035314348	0.012866726	0.0041707405	0.00019820285	0.0026100439	0.0011000789
